county,GEOID,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_cap,vap_white.uss_20_dem_swe,vap_black.uss_20_rep_cap,vap_black.uss_20_dem_swe,vap_hisp.uss_20_rep_cap,vap_hisp.uss_20_dem_swe,vap_oth.uss_20_rep_cap,vap_oth.uss_20_dem_swe,vap_white.gov_20_rep_jus,vap_white.gov_20_dem_sal,vap_black.gov_20_rep_jus,vap_black.gov_20_dem_sal,vap_hisp.gov_20_rep_jus,vap_hisp.gov_20_dem_sal,vap_oth.gov_20_rep_jus,vap_oth.gov_20_dem_sal,vap_white.atg_20_rep_mor,vap_white.atg_20_dem_pet,vap_black.atg_20_rep_mor,vap_black.atg_20_dem_pet,vap_hisp.atg_20_rep_mor,vap_hisp.atg_20_dem_pet,vap_oth.atg_20_rep_mor,vap_oth.atg_20_dem_pet,vap_white.sos_20_rep_war,vap_white.sos_20_dem_ten,vap_black.sos_20_rep_war,vap_black.sos_20_dem_ten,vap_hisp.sos_20_rep_war,vap_hisp.sos_20_dem_ten,vap_oth.sos_20_rep_war,vap_oth.sos_20_dem_ten
Barbour County,54001000001,0.8423095856726273,0.15769041432737274,0.5097403163901859,0.49025968360981403,0.4955468641747315,0.5044531358252685,0.4924431981650376,0.5075568018349623,0.85602971981386,0.14397028018614,0.5182809253925957,0.4817190746074043,0.49124215605206506,0.5087578439479349,0.48645873718927995,0.5135412628107201,0.8236906213384403,0.17630937866155974,0.5062841529906672,0.49371584700933274,0.5052826191206292,0.4947173808793708,0.48684718625540874,0.5131528137445912,0.769517370519506,0.23048262948049406,0.5111620402323169,0.488837959767683,0.4838890868761771,0.5161109131238228,0.4942369758004479,0.5057630241995521,0.6629969226187409,0.3370030773812591,0.4751536171235347,0.5248463828764652,0.503156610999744,0.4968433890002561,0.4878933050619727,0.5121066949380273
Barbour County,54001000002,0.8278212168155458,0.17217878318445426,0.5076407189197247,0.49235928108027527,0.49657182569936653,0.5034281743006335,0.4902882128274437,0.5097117871725563,0.8416136447449278,0.15838635525507216,0.5155166978775821,0.48448330212241786,0.4869836507234167,0.51301634927658335,0.4799338307278537,0.5200661692721463,0.8066264445689085,0.19337355543109153,0.505419808401412,0.494580191598588,0.5088829603709009,0.49111703962909914,0.48531641995425395,0.5146835800457461,0.7413839313178757,0.2586160686821242,0.5081693973618824,0.49183060263811756,0.48173851510932236,0.5182614848906777,0.4895609143050221,0.510439085694978,0.6519091523506904,0.3480908476493096,0.4749046871420381,0.525095312857962,0.5096687355008114,0.49033126449918857,0.48801386563128624,0.5119861343687138
Barbour County,54001000003,0.8143343404185492,0.1856656595814508,0.5079658837774225,0.49203411622257753,0.493746403257385,0.506253596742615,0.48869319695075053,0.5113068030492495,0.8027028078471706,0.19729719215282934,0.5130559075202524,0.4869440924797475,0.48350167524570803,0.516498324754292,0.48254132421833107,0.5174586757816689,0.7994313671655461,0.2005686328344539,0.5090552727370466,0.4909447272629533,0.5046981069297809,0.49530189307021905,0.48194819103008485,0.5180518089699152,0.6969640686862191,0.3030359313137809,0.5066839065065578,0.49331609349344224,0.47822032895528604,0.5217796710447139,0.48316683347518746,0.5168331665248125,0.6134725367474243,0.3865274632525757,0.47308821536074197,0.526911784639258,0.505321946108226,0.49467805389177394,0.48901876252884036,0.5109812374711596
Barbour County,54001000004,0.826660408873021,0.17333959112697908,0.5119103442569759,0.48808965574302404,0.49212174407092035,0.5078782559290796,0.48705005588160927,0.5129499441183908,0.8323861828867022,0.16761381711329784,0.5133365065770097,0.4866634934229903,0.47739838855405564,0.5226016114459444,0.4874539537542506,0.5125460462457494,0.8110665988312884,0.18893340116871163,0.5064694963386774,0.49353050366132256,0.507531795556289,0.4924682044437109,0.4824929418883833,0.5175070581116167,0.7428530427763362,0.25714695722366376,0.5133819224736111,0.4866180775263888,0.48641116859772543,0.5135888314022746,0.4938513173164964,0.5061486826835035,0.6522305905942297,0.3477694094057703,0.47766436956077585,0.5223356304392242,0.5003633814881853,0.49963661851181473,0.48744844058859466,0.5125515594114054
Barbour County,54001000007,0.6955207754993776,0.30447922450062215,0.5043512220874741,0.4956487779125259,0.4935414624928718,0.5064585375071282,0.4736986354254079,0.5263013645745921,0.7700387938855144,0.2299612061144855,0.5088891928409924,0.4911108071590075,0.48751548257104343,0.5124845174289566,0.4797694549096386,0.5202305450903614,0.7080116437067221,0.2919883562932777,0.5051223461056403,0.49487765389435967,0.5042148036311868,0.49578519636881324,0.47427977911060004,0.5257202208894,0.6567993882182626,0.34320061178173733,0.5034813112921277,0.4965186887078723,0.4823240057078539,0.5176759942921461,0.4832253591119786,0.5167746408880214,0.54015729232232,0.45984270767767993,0.4717726377863356,0.5282273622136644,0.5022965314353471,0.49770346856465286,0.48224958765013487,0.5177504123498651
Barbour County,54001000008,0.8072279470513927,0.19277205294860728,0.512337206516006,0.487662793483994,0.4941643181299248,0.5058356818700752,0.48705076308002737,0.5129492369199726,0.8478037414598385,0.15219625854016147,0.51748939547434,0.48251060452565997,0.4862179603239384,0.5137820396760616,0.4867822645499818,0.5132177354500181,0.8139070396565578,0.18609296034344228,0.5083586241241949,0.49164137587580514,0.5103094579393669,0.4896905420606331,0.47916648685089697,0.5208335131491031,0.7159161450340131,0.2840838549659869,0.5040510748061992,0.4959489251938009,0.479082152997783,0.520917847002217,0.488826187587498,0.5111738124125019,0.6456111229079653,0.35438887709203465,0.47129370621779204,0.5287062937822079,0.49995945803991837,0.5000405419600816,0.4810485166611737,0.5189514833388262
Barbour County,54001000009,0.7561171060570736,0.24388289394292637,0.513010945855213,0.48698905414478694,0.5043897851616985,0.4956102148383015,0.4835339346404481,0.5164660653595519,0.741241354480651,0.2587586455193491,0.5128882370612361,0.48711176293876385,0.48227625201651503,0.517723747983485,0.4847910362539866,0.5152089637460133,0.7010329732681563,0.2989670267318437,0.5106503460097328,0.4893496539902672,0.5100728291586868,0.48992717084131315,0.47863957358083625,0.5213604264191638,0.6943058915511163,0.3056941084488836,0.5054763526312301,0.49452364736876986,0.47961348797175024,0.5203865120282497,0.48962465902276453,0.5103753409772355,0.6362018973052085,0.36379810269479157,0.4779047653295764,0.5220952346704236,0.5041157611726822,0.49588423882731775,0.49650022988850734,0.5034997701114926
Barbour County,54001000010,0.8476338165631133,0.1523661834368867,0.5110548400494713,0.48894515995052845,0.49609100585345667,0.5039089941465433,0.48999344512470794,0.5100065548752918,0.8582348392811828,0.14176516071881723,0.5074778579531811,0.49252214204681893,0.48707238864888613,0.5129276113511139,0.488931229106989,0.5110687708930107,0.813883412109083,0.18611658789091706,0.5139864414890112,0.48601355851098865,0.5084904837100641,0.49150951628993583,0.48575402755982633,0.5142459724401734,0.7551913632355115,0.24480863676448852,0.5087308218934267,0.49126917810657317,0.4790138824606161,0.5209861175393838,0.48716913275767126,0.5128308672423287,0.6911372326291833,0.3088627673708168,0.4796270205995739,0.52037297940042615,0.5012209175160184,0.4987790824839816,0.49036586962204426,0.5096341303779556
Barbour County,54001000011,0.8045329792401905,0.19546702075980973,0.5244874210988953,0.47551257890110465,0.49291483158175026,0.5070851684182497,0.4868100561125237,0.5131899438874763,0.837812497508225,0.16218750249177524,0.5168563744430889,0.48314362555691115,0.494603194046194,0.505396805953806,0.49191718828808456,0.5080828117119155,0.8308570122660733,0.16914298773392694,0.5365522513059076,0.4634477486940925,0.514828573248406,0.48517142675159397,0.49187470490614554,0.5081252950938545,0.7106382338978614,0.2893617661021388,0.5097268227485144,0.4902731772514855,0.48019369253442046,0.5198063074655795,0.492644793049837,0.507355206950163,0.6409041320293655,0.3590958679706347,0.46896691445195615,0.5310330855480438,0.5031990216120363,0.49680097838796367,0.49151689275571914,0.5084831072442809
Barbour County,54001000012,0.8164852110642522,0.18351478893574774,0.5105470137674334,0.48945298623256667,0.4989151383643294,0.5010848616356707,0.48358445628384666,0.5164155437161534,0.8369516362200602,0.16304836377993975,0.5135411469010693,0.48645885309893067,0.4934445641343282,0.5065554358656719,0.48876039146817074,0.5112396085318293,0.8322288662357163,0.16777113376428363,0.5085911536564149,0.49140884634358506,0.5032362575935589,0.49676374240644106,0.485120945700051,0.5148790542999491,0.76267376104392,0.23732623895607996,0.49912606843297086,0.5008739315670292,0.482869636017161,0.517130363982839,0.4883400733766117,0.5116599266233883,0.6960790001773773,0.30392099982262266,0.4760272535011515,0.5239727464988485,0.49382673410597894,0.506173265894021,0.4902501371190222,0.5097498628809778
