county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_cor,vap_white.uss_16_rep_hec,vap_black.uss_16_dem_cor,vap_black.uss_16_rep_hec,vap_hisp.uss_16_dem_cor,vap_hisp.uss_16_rep_hec,vap_oth.uss_16_dem_cor,vap_oth.uss_16_rep_hec,vap_white.uss_18_dem_ros,vap_white.uss_18_rep_hel,vap_black.uss_18_dem_ros,vap_black.uss_18_rep_hel,vap_hisp.uss_18_dem_ros,vap_hisp.uss_18_rep_hel,vap_oth.uss_18_dem_ros,vap_oth.uss_18_rep_hel,vap_white.gov_18_dem_sis,vap_white.gov_18_rep_lax,vap_black.gov_18_dem_sis,vap_black.gov_18_rep_lax,vap_hisp.gov_18_dem_sis,vap_hisp.gov_18_rep_lax,vap_oth.gov_18_dem_sis,vap_oth.gov_18_rep_lax,vap_white.atg_18_dem_for,vap_white.atg_18_rep_dun,vap_black.atg_18_dem_for,vap_black.atg_18_rep_dun,vap_hisp.atg_18_dem_for,vap_hisp.atg_18_rep_dun,vap_oth.atg_18_dem_for,vap_oth.atg_18_rep_dun,vap_white.sos_18_dem_ara,vap_white.sos_18_rep_ceg,vap_black.sos_18_dem_ara,vap_black.sos_18_rep_ceg,vap_hisp.sos_18_dem_ara,vap_hisp.sos_18_rep_ceg,vap_oth.sos_18_dem_ara,vap_oth.sos_18_rep_ceg,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Carson City,32510000101,0.40360961163852876,0.5963903883614713,0.49502515454219415,0.5049748454578058,0.6418814488916652,0.3581185511083348,0.5562902621664707,0.4437097378335293,0.39907264433167594,0.600927355668324,0.47932831084389044,0.5206716891561096,0.6355303488502718,0.3644696511497282,0.5731353625795526,0.42686463742044745,0.4353868731268853,0.5646131268731147,0.48674360607790157,0.5132563939220984,0.6371384665475366,0.3628615334524634,0.5439115116713379,0.4560884883286621,0.4439442135935483,0.5560557864064517,0.4950503869776824,0.5049496130223176,0.6369560630194777,0.3630439369805223,0.5540157626459845,0.4459842373540155,0.4005450181836317,0.5994549818163684,0.4801811537234704,0.5198188462765295,0.6523748135671137,0.3476251864328863,0.5741566184478509,0.42584338155214907,0.40136247150622767,0.5986375284937724,0.471386117917816,0.528613882082184,0.6390237598923306,0.3609762401076694,0.5629316492993062,0.43706835070069383,0.4527304570189767,0.5472695429810233,0.47542909940892075,0.5245709005910792,0.6231250828813366,0.37687491711866344,0.5835944971264404,0.41640550287355965
Carson City,32510000103,0.43080360404274204,0.5691963959572579,0.48808289938386845,0.5119171006161316,0.63291075074988,0.36708924925011993,0.5536675748966388,0.4463324251033613,0.41241907113404147,0.5875809288659586,0.48275870651595926,0.5172412934840407,0.6291747330123348,0.37082526698766516,0.5592519729393065,0.4407480270606935,0.4366867519096608,0.5633132480903392,0.48889131289210225,0.5111086871078978,0.6187053740987714,0.3812946259012287,0.5360034025541653,0.46399659744583466,0.4364648484797229,0.5635351515202771,0.49186996730330396,0.5081300326966961,0.6076042773228191,0.392395722677181,0.5471954076526053,0.45280459234739473,0.37937078554363024,0.6206292144563698,0.49104096259938906,0.508959037400611,0.6326310359769304,0.3673689640230696,0.566999108120838,0.4330008918791621,0.3806368473999244,0.6193631526000756,0.47779233264275833,0.5222076673572417,0.6093494729524773,0.3906505270475227,0.556984447804421,0.4430155521955789,0.4483164233770514,0.5516835766229485,0.4736977499435537,0.5263022500564463,0.6119761669790797,0.38802383302092025,0.5893051281550317,0.41069487184496833
Carson City,32510000105,0.35487750111409133,0.6451224988859087,0.49003956281166083,0.5099604371883392,0.6323059984573011,0.36769400154269893,0.5582197427583353,0.44178025724166464,0.33085441016608896,0.669145589833911,0.4808233271421421,0.5191766728578578,0.6270935993045539,0.3729064006954461,0.5503849850255846,0.44961501497441536,0.350675019832133,0.649324980167867,0.48441122839859174,0.5155887716014083,0.6097447602988209,0.39025523970117915,0.5349608388128261,0.4650391611871739,0.3609305999409321,0.6390694000590679,0.48896402267031047,0.5110359773296895,0.5994569137670934,0.4005430862329066,0.5341826684821934,0.4658173315178066,0.2938210976312996,0.7061789023687004,0.4810339149866064,0.5189660850133936,0.6221023535151673,0.37789764648483276,0.5644211573323304,0.4355788426676696,0.30179554981337137,0.6982044501866286,0.4794235329194022,0.5205764670805978,0.6112787406232421,0.388721259376758,0.5406995250876805,0.45930047491231946,0.4131025345256249,0.586897465474375,0.4667670476255886,0.5332329523744114,0.6111270157362014,0.38887298426379857,0.5740398941707151,0.4259601058292849
Carson City,32510000107,0.35126040500508854,0.6487395949949115,0.49497963872566886,0.5050203612743311,0.6256199819901231,0.3743800180098769,0.560868182880164,0.43913181711983595,0.355716991701472,0.644283008298528,0.4836425527887628,0.5163574472112372,0.6266867539029713,0.37331324609702865,0.5543537878417606,0.4456462121582394,0.35463915170751975,0.6453608482924803,0.4826680059644343,0.5173319940355657,0.6118694942631272,0.38813050573687286,0.5314820397038952,0.46851796029610476,0.3663858883257132,0.6336141116742867,0.4940267909746795,0.5059732090253205,0.6074453777531501,0.39255462224684984,0.5185687642577141,0.48143123574228586,0.3226291935824998,0.6773708064175002,0.4828747999205458,0.5171252000794542,0.6271549308399803,0.37284506916001975,0.5660881432429969,0.43391185675700306,0.32806892420710976,0.6719310757928902,0.47687500461148374,0.5231249953885163,0.6107118555601276,0.38928814443987236,0.5554859931675685,0.44451400683243153,0.3896820840171784,0.6103179159828216,0.4628612143796702,0.5371387856203298,0.6116432805003119,0.38835671949968814,0.5657850430275506,0.4342149569724494
Carson City,32510000109,0.3743980836840076,0.6256019163159922,0.4931385405004979,0.5068614594995021,0.6389400584034031,0.3610599415965969,0.5541385189842806,0.44586148101571943,0.3538389236451275,0.6461610763548725,0.48360467749608727,0.5163953225039127,0.6439927651964867,0.3560072348035132,0.5665178843352788,0.43348211566472117,0.3614084651052785,0.6385915348947213,0.48164638649281627,0.5183536135071838,0.6181608243547282,0.38183917564527176,0.5246350297441943,0.47536497025580565,0.3740589345056476,0.6259410654943522,0.4953791315308562,0.5046208684691438,0.6043024420785587,0.3956975579214414,0.5398168412687658,0.4601831587312342,0.30180977397812914,0.6981902260218706,0.48833360524652564,0.5116663947534743,0.6377863366891491,0.3622136633108509,0.5592405234361446,0.4407594765638554,0.30540133263743974,0.69459866736256,0.47172822640756995,0.52827177359243,0.6165957979302648,0.38340420206973524,0.5542409316082149,0.4457590683917852,0.40156370129537167,0.5984362987046281,0.4734085247332351,0.526591475266765,0.6189944642830455,0.38100553571695456,0.5760867179940544,0.4239132820059455
Carson City,32510000111,0.4239928685803108,0.5760071314196892,0.49946554468672666,0.5005344553132733,0.6610740473696382,0.3389259526303619,0.5652545222660011,0.43474547773399885,0.433685970824153,0.566314029175847,0.48467022421834255,0.5153297757816575,0.6656022747133589,0.3343977252866412,0.57393516351991,0.42606483648009,0.4683852690980771,0.5316147309019229,0.4848625790186915,0.5151374209813084,0.6515219434807452,0.3484780565192548,0.5539320905972789,0.4460679094027211,0.46296385488696706,0.537036145113033,0.49694683870501716,0.5030531612949829,0.6528990476633844,0.34710095233661564,0.5590417576446672,0.4409582423553327,0.40060624816873935,0.5993937518312606,0.48504080110423164,0.5149591988957684,0.6708037578769488,0.3291962421230512,0.5862392445751916,0.4137607554248084,0.4235532710140774,0.5764467289859225,0.46994797895132123,0.5300520210486788,0.6697856664416877,0.3302143335583123,0.5728768762242371,0.4271231237757629,0.4206119663985848,0.5793880336014152,0.47550028667240374,0.5244997133275963,0.636639001412434,0.36336099858756593,0.5869752644547045,0.41302473554529556
Carson City,32510000113,0.2955845749620259,0.704415425037974,0.487864240980211,0.512135759019789,0.6261024218329132,0.3738975781670868,0.5409702444976021,0.4590297555023979,0.3111843776974012,0.6888156223025987,0.4876346964385885,0.5123653035614115,0.6158593332194859,0.38414066678051406,0.5509714623164123,0.44902853768358775,0.31672482132802426,0.6832751786719757,0.4785681127321815,0.5214318872678185,0.6116742547355561,0.3883257452644439,0.531456694288425,0.468543305711575,0.3237609772634497,0.6762390227365503,0.4956847727517757,0.5043152272482243,0.592942330127134,0.40705766987286596,0.52563281353664,0.47436718646335996,0.2801777192338435,0.7198222807661565,0.4832651833054522,0.5167348166945478,0.6245711422937769,0.37542885770622314,0.5580366294742576,0.44196337052574247,0.30117863953423213,0.6988213604657678,0.47419845969733904,0.525801540302661,0.622748720550826,0.377251279449174,0.5483503171987235,0.4516496828012765,0.3431174858348528,0.6568825141651472,0.47556638310861366,0.5244336168913863,0.6037972643392174,0.39620273566078257,0.5668252726830455,0.43317472731695444
Carson City,32510000201,0.381438344369096,0.6185616556309039,0.49219167263372043,0.5078083273662793,0.6707576675616727,0.3292423324383273,0.5551020226461593,0.44489797735384073,0.378775753729662,0.621224246270338,0.479216809672189,0.520783190327811,0.6445375107259378,0.3554624892740622,0.5640701783612557,0.4359298216387442,0.4396573748658579,0.5603426251341421,0.48469790113082606,0.515302098869174,0.6560892427119417,0.3439107572880583,0.5423274236678429,0.457672576332157,0.4262020244256287,0.5737979755743713,0.4986046122661118,0.5013953877338881,0.6365250977709308,0.3634749022290692,0.5520327732695235,0.4479672267304765,0.37112007608833986,0.6288799239116601,0.48407944695965677,0.5159205530403432,0.6515773751175491,0.34842262488245096,0.5741215846005661,0.4258784153994339,0.4141193891116108,0.5858806108883892,0.4788177398267309,0.5211822601732691,0.6528848387668469,0.3471151612331531,0.5601041429317525,0.43989585706824735,0.38253460349739854,0.6174653965026015,0.4660404322420338,0.5339595677579662,0.6269693190328817,0.3730306809671183,0.5781572466521564,0.42184275334784366
Carson City,32510000203,0.3714306965869539,0.6285693034130464,0.49362289406930465,0.5063771059306954,0.6968211357669368,0.30317886423306323,0.5512892333030758,0.44871076669692417,0.399885082720246,0.6001149172797542,0.48752241388193646,0.5124775861180635,0.6693716339382219,0.3306283660617782,0.5716287743720814,0.4283712256279187,0.41220007317532176,0.5877999268246784,0.48491899246582904,0.515081007534171,0.6526736816457841,0.3473263183542159,0.5304942434453862,0.46950575655461374,0.4269710009005062,0.573028999099494,0.4951862085739778,0.5048137914260222,0.6441935595383395,0.3558064404616606,0.5412073472175328,0.4587926527824672,0.34292855115865606,0.6570714488413442,0.4880162040268215,0.5119837959731786,0.6812487680575326,0.3187512319424674,0.5733579518819965,0.42664204811800355,0.39399576416185544,0.6060042358381448,0.4771374991615611,0.5228625008384389,0.6746136451551101,0.3253863548448898,0.5554763544496665,0.44452364555033347,0.4100290596074116,0.5899709403925887,0.4699189639789815,0.5300810360210185,0.6418607402197426,0.35813925978025735,0.5674790110760797,0.4325209889239203
Carson City,32510000205,0.36929159057814287,0.6307084094218571,0.49564550036571664,0.5043544996342834,0.6510988817398105,0.34890111826018955,0.5558283382177751,0.44417166178222484,0.36127082723650067,0.6387291727634993,0.477886823339742,0.522113176660258,0.6492452777576889,0.350754722242311,0.5581709192229117,0.4418290807770883,0.40241094537958194,0.5975890546204181,0.48379010391994764,0.5162098960800524,0.6400079723782531,0.3599920276217468,0.537737717638524,0.462262282361476,0.39450279821880696,0.605497201781193,0.4947409138837672,0.5052590861162328,0.6182070406264608,0.3817929593735392,0.538754480365247,0.46124551963475297,0.3224654262267759,0.6775345737732241,0.48519117330650763,0.5148088266934924,0.6406603145100883,0.3593396854899117,0.5626921901902158,0.43730780980978423,0.34754582676011436,0.6524541732398856,0.4773775410845955,0.5226224589154045,0.6317950053077224,0.36820499469227763,0.5527098976928888,0.4472901023071112,0.39143088039788804,0.608569119602112,0.4675212724674156,0.5324787275325844,0.62986812852974,0.37013187147026005,0.5723576447303874,0.42764235526961253
