county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_thu,vap_white.uss_16_dem_wil,vap_black.uss_16_rep_thu,vap_black.uss_16_dem_wil,vap_hisp.uss_16_rep_thu,vap_hisp.uss_16_dem_wil,vap_oth.uss_16_rep_thu,vap_oth.uss_16_dem_wil,vap_white.gov_18_rep_noe,vap_white.gov_18_dem_sut,vap_black.gov_18_rep_noe,vap_black.gov_18_dem_sut,vap_hisp.gov_18_rep_noe,vap_hisp.gov_18_dem_sut,vap_oth.gov_18_rep_noe,vap_oth.gov_18_dem_sut,vap_white.atg_18_rep_rav,vap_white.atg_18_dem_sei,vap_black.atg_18_rep_rav,vap_black.atg_18_dem_sei,vap_hisp.atg_18_rep_rav,vap_hisp.atg_18_dem_sei,vap_oth.atg_18_rep_rav,vap_oth.atg_18_dem_sei,vap_white.sos_18_rep_bar,vap_white.sos_18_dem_fre,vap_black.sos_18_rep_bar,vap_black.sos_18_dem_fre,vap_hisp.sos_18_rep_bar,vap_hisp.sos_18_dem_fre,vap_oth.sos_18_rep_bar,vap_oth.sos_18_dem_fre,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_rou,vap_white.uss_20_dem_ahl,vap_black.uss_20_rep_rou,vap_black.uss_20_dem_ahl,vap_hisp.uss_20_rep_rou,vap_hisp.uss_20_dem_ahl,vap_oth.uss_20_rep_rou,vap_oth.uss_20_dem_ahl
Aurora County,460030VTD-1,0.80081900710676,0.19918099289324,0.5051989835165261,0.49480101648347385,0.5025074376806656,0.4974925623193343,0.5041767460562975,0.4958232539437025,0.8242047134585597,0.17579528654144022,0.5022268383356784,0.4977731616643216,0.4954918304744786,0.5045081695255214,0.4969034567006817,0.5030965432993183,0.6219474692733967,0.3780525307266033,0.505157361085875,0.494842638914125,0.5076283929951185,0.4923716070048814,0.5076093076768599,0.49239069232314014,0.6669427990938651,0.33305720090613483,0.4959445713988932,0.5040554286011069,0.5019344976204189,0.49806550237958114,0.5018706736878832,0.49812932631211687,0.7594949436871795,0.24050505631282046,0.4952583357290238,0.5047416642709762,0.49682683199170286,0.5031731680082971,0.5082747185151191,0.4917252814848809,0.8773461261251525,0.12265387387484752,0.4985269369201151,0.5014730630798848,0.4915499830805166,0.5084500169194833,0.49141496931167356,0.5085850306883265,0.8098339343483593,0.19016606565164068,0.5036197743391978,0.4963802256608022,0.4955108039394603,0.5044891960605397,0.48516895663093523,0.5148310433690648
Aurora County,460030VTD-2,0.847658966141344,0.15234103385865608,0.5063441076799551,0.49365589232004486,0.5000658912954483,0.4999341087045516,0.4980498538423799,0.5019501461576201,0.7999452809176026,0.20005471908239733,0.5050776290466295,0.49492237095337055,0.5044296189335659,0.4955703810664342,0.490973723272007,0.509026276727993,0.6267603846563247,0.3732396153436753,0.506787338615254,0.49321266138474595,0.5049953161451635,0.49500468385483654,0.5131956706616063,0.4868043293383937,0.7281362315592128,0.27186376844078713,0.49129220585012273,0.5087077941498773,0.5001725223887872,0.49982747761121277,0.5033115699063605,0.4966884300936395,0.7761154303156065,0.2238845696843935,0.4973753278624534,0.5026246721375466,0.49679883491942783,0.5032011650805722,0.5058088531862625,0.49419114681373755,0.9288448794809668,0.07115512051903315,0.5021808779328168,0.49781912206718315,0.4949789434651183,0.5050210565348817,0.4922264988154445,0.5077735011845554,0.861614564787829,0.1383854352121709,0.5065679428257743,0.4934320571742256,0.4926944606629427,0.5073055393370572,0.4892432844675513,0.5107567155324487
Aurora County,460030VTD-3,0.75202290468413735,0.24797709531586262,0.5006471904369592,0.4993528095630409,0.5048131748698271,0.49518682513017287,0.49723670340552856,0.5027632965944715,0.7569356116957282,0.24306438830427177,0.5031149761539973,0.4968850238460028,0.5031536423617518,0.49684635763824825,0.4935188126521878,0.5064811873478122,0.4366535348249808,0.5633464651750192,0.5008512828026256,0.49914871719737436,0.49993262279135553,0.5000673772086445,0.5070798238297529,0.4929201761702471,0.5093599969124727,0.4906400030875273,0.4861847180914551,0.5138152819085449,0.4934408690916431,0.5065591309083569,0.5021139071637599,0.49788609283624014,0.6136679264652075,0.38633207353479243,0.4992981181867866,0.5007018818132134,0.4930429454993207,0.5069570545006793,0.5033466211420645,0.4966533788579355,0.8030173329041166,0.1969826670958834,0.5016721183262853,0.4983278816737146,0.4881332065054009,0.5118667934945991,0.4962407353289487,0.5037592646710514,0.7146167936005552,0.28538320639944476,0.50388934757163,0.49611065242837005,0.4965588200451736,0.5034411799548264,0.48747034345823803,0.512529656541762
Aurora County,460030VTD-5,0.6875604221324099,0.3124395778675901,0.4986671023635708,0.5013328976364292,0.4997063998347036,0.5002936001652964,0.5036678109676647,0.49633218903233534,0.6963986026238708,0.3036013973761293,0.5031289825272036,0.4968710174727964,0.4936150310048094,0.5063849689951906,0.48941910085948637,0.5105808991405136,0.45622276222210983,0.5437772377778901,0.5038788170458615,0.4961211829541386,0.5023104260188763,0.4976895739811237,0.5026677836290389,0.49733221637096114,0.508451977629474,0.49154802237052597,0.49204582686639087,0.5079541731336091,0.5054471264852869,0.4945528735147131,0.5039223470772498,0.49607765292275013,0.6249185465172287,0.3750814534827713,0.49903076099078164,0.5009692390092184,0.49228731887468935,0.5077126811253106,0.5021789448934669,0.497821055106533,0.7324714139673864,0.2675285860326137,0.4968031335469507,0.5031968664530493,0.4938177925189293,0.5061822074810707,0.4884130844525502,0.5115869155474497,0.6923173719716796,0.30768262802832036,0.5007591648849308,0.4992408351150693,0.4964796257095517,0.5035203742904484,0.4853052760744946,0.5146947239255054
Aurora County,460030VTD-7,0.7515803452454998,0.24841965475450006,0.5049371672084567,0.4950628327915433,0.4935841548849219,0.5064158451150781,0.4962227657615574,0.5037772342384427,0.8259025593397612,0.17409744066023886,0.5020863652028131,0.4979136347971869,0.521925184217004,0.478074815782996,0.49615949888124067,0.5038405011187593,0.5012559574879891,0.49874404251201065,0.5018914493770089,0.4981085506229911,0.49438871768636733,0.5056112823136327,0.4987394798970767,0.5012605201029233,0.555599069136342,0.4444009308636578,0.489969313903327,0.510030686096673,0.48970118887732883,0.5102988111226712,0.5086534572709539,0.49134654272904604,0.7631826391385957,0.23681736086140404,0.4926237800332474,0.5073762199667525,0.49039327286159595,0.509606727138404,0.5023761125553327,0.49762388744466735,0.7899308077450153,0.21006919225498447,0.5053704773144477,0.4946295226855522,0.48296666648264436,0.5170333335173556,0.4897909591934249,0.5102090408065751,0.7861909528864653,0.21380904711353452,0.5059920259428199,0.4940079740571801,0.48431244967266873,0.5156875503273313,0.4823233267546008,0.5176766732453992
Beadle County,460050VTD-1,0.8080224675691285,0.1919775324308715,0.4959771946818595,0.5040228053181405,0.4764878551418599,0.5235121448581401,0.4689927422680482,0.5310072577319518,0.8385220436261921,0.16147795637380793,0.4973225597886945,0.5026774402113056,0.4002484548585234,0.5997515451414767,0.491001666253557,0.508998333746443,0.5306683918378384,0.46933160816216163,0.5220358297970151,0.4779641702029848,0.464918746504397,0.535081253495603,0.4973447163059667,0.5026552836940332,0.5415360465159734,0.4584639534840266,0.5104393340032463,0.4895606659967537,0.5283252644456415,0.4716747355543584,0.4968245737397755,0.5031754262602245,0.7265408865653997,0.2734591134346003,0.5002319979045009,0.4997680020954991,0.5194460995765426,0.48055390042345736,0.5137497390570374,0.48625026094296264,0.8305633121352095,0.16943668786479046,0.5086690144628425,0.4913309855371575,0.4926978536487038,0.5073021463512962,0.4611466003538693,0.5388533996461308,0.8409603775522765,0.1590396224477235,0.4868543370751471,0.513145662924853,0.4875343107339242,0.5124656892660757,0.48068131679365084,0.5193186832063491
Beadle County,46005VTD-01,0.805438852349992,0.194561147650008,0.4985066226281176,0.5014933773718824,0.4647698901114735,0.5352301098885265,0.4629702912132923,0.5370297087867077,0.8321857974255885,0.16781420257441143,0.49236155980548135,0.5076384401945186,0.41974602410029294,0.5802539758997071,0.4830590106973523,0.5169409893026478,0.6396935398852829,0.36030646011471706,0.5231979725316631,0.4768020274683369,0.4697727250576373,0.5302272749423628,0.5063675950808678,0.49363240491913224,0.6647469788866762,0.3352530211133238,0.5058494436841164,0.4941505563158836,0.5257721345527874,0.4742278654472126,0.5025473423668417,0.49745265763315827,0.7804821976767792,0.2195178023232208,0.5002068303132478,0.4997931696867522,0.5104564513271245,0.4895435486728756,0.5075483617087532,0.49245163829124683,0.7945335312492504,0.20546646875074964,0.5131049039282631,0.48689509607173687,0.47047414283177375,0.5295258571682262,0.45015616455933277,0.5498438354406673,0.8076326183668943,0.19236738163310574,0.4910226913422943,0.5089773086577057,0.47694807630472047,0.5230519236952795,0.47843924231910795,0.521560757680892
Beadle County,46005VTD-02,0.7597429520499852,0.24025704795001476,0.49186481017044326,0.5081351898295567,0.468178581582102,0.531821418417898,0.47048089080676847,0.5295191091932315,0.7721132499446137,0.2278867500553863,0.49516091600070794,0.504839083999292,0.4227535712006489,0.5772464287993512,0.4874107165449329,0.5125892834550672,0.5167471434211581,0.48325285657884187,0.5220493752269698,0.4779506247730302,0.47116491971332697,0.528835080286673,0.4990982325139968,0.5009017674860032,0.39851470972445846,0.6014852902755415,0.5069796167853721,0.493020383214628,0.5061765746055275,0.49382342539447255,0.49623797031698585,0.5037620296830141,0.30653505845036827,0.6934649415496317,0.5003078910454349,0.49969210895456506,0.5003226070815127,0.49967739291848734,0.49657211625494346,0.5034278837450565,0.7972674803039014,0.2027325196960986,0.5086557721221407,0.4913442278778592,0.47126968187036633,0.5287303181296337,0.43936594201014295,0.5606340579898571,0.7966722158876373,0.20332778411236271,0.4841187058329921,0.5158812941670079,0.48796915707057165,0.5120308429294284,0.4709755932572768,0.5290244067427232
Beadle County,46005VTD-04,0.7151190840976974,0.28488091590230263,0.5006445041185346,0.49935549588146544,0.46604724123030666,0.5339527587696934,0.4570447873771745,0.5429552126228254,0.7252448367664135,0.27475516323358645,0.4967184250516613,0.5032815749483387,0.4212715037876003,0.5787284962123997,0.4834046228540825,0.5165953771459175,0.5146693876088972,0.4853306123911028,0.5205994598433221,0.47940054015667793,0.4741993133683321,0.5258006866316679,0.49852321446221987,0.5014767855377802,0.5355982287027851,0.464401771297215,0.5082647323587357,0.4917352676412643,0.5120025660825951,0.4879974339174049,0.502866147155272,0.497133852844728,0.6674644732843852,0.33253552671561487,0.5055180995340106,0.49448190046598933,0.5109812525327448,0.48901874746725515,0.5119233758602828,0.4880766241397172,0.722000447709377,0.27799955229062306,0.5108288286112591,0.4891711713887409,0.4618519917691046,0.5381480082308955,0.44584851867410114,0.5541514813258989,0.7337805973891389,0.266219402610861,0.4911820650065911,0.5088179349934089,0.47359435237412867,0.5264056476258713,0.47930615964755796,0.520693840352442
Beadle County,46005VTD-05,0.7261702465109454,0.27382975348905464,0.4944736870900651,0.5055263129099349,0.4675436623352345,0.5324563376647655,0.46400775200238686,0.5359922479976131,0.7684002171377222,0.23159978286227753,0.5044228970438651,0.4955771029561349,0.42694226078821285,0.5730577392117872,0.48350052481291017,0.5164994751870898,0.52073984948908425,0.4792601505109156,0.5260936816784336,0.4739063183215663,0.46979044549715876,0.5302095545028412,0.4960019141969633,0.5039980858030366,0.5000681625891887,0.4999318374108112,0.5052933589239099,0.49470664107609,0.5121353208619824,0.4878646791380175,0.4971949827296043,0.5028050172703957,0.553406266681289,0.446593733318711,0.5006065624617886,0.49939343753821147,0.5025265652437179,0.49747343475628214,0.5090320820420102,0.49096791795798983,0.7069043639950247,0.2930956360049754,0.5127379062832201,0.4872620937167799,0.4655307848028762,0.5344692151971239,0.4498242723345845,0.5501757276654154,0.7360399570969232,0.2639600429030766,0.48764738341405134,0.5123526165859487,0.4758551804481453,0.5241448195518547,0.4707364404016943,0.5292635595983056
