county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
Alameda County,06001400100,0.9515299728258323,0.04847002717416771,0.9594259044666658,0.040574095533334305,0.9475656210254974,0.05243437897450261,0.7064668781526459,0.2935331218473541,0.5786743686534049,0.421325631346595,0.9187241507535849,0.08127584924641505,0.968223684964153,0.031776315035847005,0.953673915755928,0.04632608424407208,0.8595297945337219,0.14047020546627811,0.6797508634911615,0.32024913650883846,0.6305564208072131,0.3694435791927869,0.9217251927043434,0.07827480729565664
Alameda County,06001400200,0.9830739865997707,0.016926013400229256,0.9534343340590531,0.04656566594094692,0.9461822395950977,0.053817760404902285,0.7468403390046827,0.2531596609953172,0.5784012377911639,0.4215987622088361,0.9220052218546416,0.07799477814535839,0.989828893776575,0.010171106223425026,0.960173842641534,0.03982615735846597,0.8894576572790621,0.11054234272093784,0.7490950306044135,0.2509049693955865,0.6309858698763431,0.36901413012365697,0.9373152140119737,0.06268478598802625
Alameda County,06001400300,0.9926219587763127,0.007378041223687309,0.9734495069039452,0.026550493096054836,0.9669124084321709,0.033087591567829096,0.8148420395004771,0.18515796049952288,0.5857876813933168,0.41421231860668317,0.9503377806941453,0.04966221930585465,0.9936163843150817,0.006383615684918304,0.9738173204239328,0.02618267957606726,0.9169354283028517,0.08306457169714826,0.8070259529516431,0.1929740470483568,0.6359160966562432,0.3640839033437569,0.9614379476327908,0.03856205236720926
Alameda County,06001400400,0.9960712658560056,0.0039287341439943925,0.9756080014732241,0.024391998526775895,0.9772438795171943,0.022756120482805682,0.862943057598348,0.137056942401652,0.576805060662079,0.42319493933792096,0.9635211849806244,0.036478815019375534,0.9969057316411096,0.003094268358890378,0.9810611081044812,0.018938891895518745,0.9412678795231381,0.05873212047686196,0.8687567944237687,0.13124320557623131,0.6255819237545331,0.3744180762454668,0.9731272193523653,0.026872780647634684
Alameda County,06001400500,0.9967613084027187,0.003238691597281337,0.9916125758124409,0.008387424187559113,0.9874678544682756,0.012532145531724442,0.8972095267709703,0.10279047322902955,0.5949995566009323,0.4050004433990677,0.979775839190853,0.02022416080914696,0.9980739280478008,0.0019260719521990762,0.9852074121998095,0.014792587800190595,0.9385737674771683,0.061426232522831706,0.8235265053337953,0.1764734946662046,0.6314540151338499,0.36854598486615003,0.9706055833054553,0.02939441669454463
Alameda County,06001400600,0.9954919533961868,0.0045080466038134245,0.9916229499885172,0.00837705001148279,0.9832350719154294,0.016764928084570627,0.8623022520240704,0.13769774797592954,0.5907006043481975,0.4092993956518025,0.9803847770215508,0.01961522297844917,0.9940782284088466,0.005921771591153558,0.9880737238558533,0.011926276144146618,0.9300393493995058,0.06996065060049415,0.7985801153998255,0.20141988460017443,0.6388968028028542,0.3611031971971458,0.9746128730352318,0.025387126964768233
Alameda County,06001400700,0.9960318487869866,0.003968151213013421,0.9931153160251732,0.006884683974826725,0.9878033357355382,0.012196664264461789,0.8923056893823805,0.1076943106176195,0.5859562836716704,0.4140437163283296,0.9740171037326857,0.025982896267314273,0.9949719199183858,0.005028080081614103,0.9923799837644578,0.007620016235542157,0.9572909650715211,0.042709034928478856,0.8692143191422441,0.13078568085775583,0.6391028669616607,0.3608971330383392,0.9762764031092399,0.023723596890760087
Alameda County,06001400800,0.9928563325360167,0.0071436674639833615,0.988229523122755,0.011770476877244997,0.9787115351026061,0.021288464897393933,0.8917236907462607,0.10827630925373928,0.5831920190159104,0.41680798098408955,0.9664586071233853,0.03354139287661459,0.9908865697023814,0.009113430297618548,0.9853168207006341,0.014683179299365893,0.9282946295274916,0.0717053704725084,0.8436200391358882,0.15637996086411177,0.6257387899476604,0.37426121005233964,0.9602991951221419,0.039700804877857925
Alameda County,06001400900,0.9942329504786921,0.0057670495213078925,0.9896628938639985,0.010337106136001422,0.9855592671658789,0.014440732834121069,0.8676990498081036,0.1323009501918963,0.5906373286625991,0.4093626713374012,0.9724520934945186,0.02754790650548146,0.9916971989019716,0.008302801098028363,0.9854906049061065,0.014509395093893493,0.9325926198351282,0.06740738016487179,0.7991636970655184,0.2008363029344816,0.6312143039073733,0.3687856960926269,0.9649583014524068,0.035041698547593245
Alameda County,06001401000,0.99486719799557,0.005132802004430037,0.9927621533164694,0.007237846683530612,0.9861445875191246,0.013855412480875457,0.8798312445531171,0.12016875544688291,0.5892037613148957,0.41079623868510434,0.971151943065959,0.028848056934041022,0.9932201225523061,0.006779877447693883,0.9909444013705241,0.00905559862947591,0.9499361214403341,0.05006387855966584,0.8414157305454184,0.15858426945458154,0.629307169925889,0.370692830074111,0.9753226839692936,0.024677316030706456
