county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_18_dem_men,vap_white.uss_18_rep_hug,vap_black.uss_18_dem_men,vap_black.uss_18_rep_hug,vap_hisp.uss_18_dem_men,vap_hisp.uss_18_rep_hug,vap_asian.uss_18_dem_men,vap_asian.uss_18_rep_hug,vap_aian.uss_18_dem_men,vap_aian.uss_18_rep_hug,vap_oth_b.uss_18_dem_men,vap_oth_b.uss_18_rep_hug,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_boo,vap_white.uss_20_rep_meh,vap_black.uss_20_dem_boo,vap_black.uss_20_rep_meh,vap_hisp.uss_20_dem_boo,vap_hisp.uss_20_rep_meh,vap_asian.uss_20_dem_boo,vap_asian.uss_20_rep_meh,vap_aian.uss_20_dem_boo,vap_aian.uss_20_rep_meh,vap_oth_b.uss_20_dem_boo,vap_oth_b.uss_20_rep_meh
Mercer County,34021030011,0.5706263050072602,0.4293736949927398,0.9505702573210177,0.0494297426789823,0.9100091977012257,0.08999080229877433,0.8988974179936544,0.10110258200634564,0.5461871507915806,0.4538128492084194,0.8839750847593488,0.11602491524065117,0.5438094958312869,0.45619050416871304,0.9478055385859555,0.05219446141404453,0.8717203243246503,0.1282796756753497,0.8297074354003543,0.17029256459964576,0.5743621134585253,0.4256378865414748,0.8265408855920277,0.17345911440797238,0.6043461686647532,0.3956538313352468,0.8880954655101638,0.11190453448983619,0.7295390104425619,0.2704609895574382,0.8518867536797858,0.1481132463202142,0.5181325443853839,0.481867455614616,0.6895528183230806,0.3104471816769194,0.5709343252813929,0.4290656747186072,0.9087661433423776,0.09123385665762242,0.738986651164722,0.2610133488352781,0.8009582758869653,0.1990417241130347,0.5687248458442691,0.43127515415573087,0.7357855258687358,0.26421447413126414
Mercer County,34021030012,0.5654090460352754,0.4345909539647246,0.9495680535201232,0.050431946479876796,0.9105142099742254,0.08948579002577456,0.8775092128991879,0.12249078710081206,0.5449174131558794,0.4550825868441207,0.877917275794463,0.12208272420553702,0.5260383092754489,0.473961690724551,0.9437302497211526,0.0562697502788474,0.8677648517815703,0.13223514821842974,0.8186913090825109,0.18130869091748913,0.5749117571619834,0.4250882428380166,0.8254975972638937,0.17450240273610634,0.6566842241669466,0.34331577583305334,0.8842349304659028,0.11576506953409715,0.7361654468658002,0.2638345531341998,0.8502666943731843,0.14973330562681578,0.5195963930194237,0.48040360698057627,0.6984467846569516,0.30155321534304835,0.6198129224797818,0.38018707752021824,0.89710536800131635,0.10289463199868361,0.7416828068976996,0.2583171931023004,0.8014316799177135,0.19856832008228656,0.5670805741269294,0.43291942587307064,0.7389180570799078,0.2610819429200922
Mercer County,34021035001,0.7058791356581621,0.29412086434183793,0.9499182309763402,0.05008176902365956,0.9074608052411662,0.09253919475883374,0.8970346723972662,0.10296532760273379,0.5435274668278374,0.4564725331721626,0.8765255795768753,0.12347442042312447,0.6798900542950294,0.3201099457049707,0.9522626452080621,0.0477373547919379,0.873786183421375,0.12621381657862493,0.8281072633200756,0.1718927366799244,0.5711391521224822,0.4288608478775178,0.8387687479535133,0.16123125204648667,0.6826054355048308,0.31739456449516923,0.8956074103444531,0.10439258965554661,0.7367818369234175,0.26321816307658247,0.8536445545927955,0.1463554454072045,0.5231014057471487,0.47689859425285136,0.6977021058719743,0.30229789412802544,0.6717807805084482,0.32821921949155175,0.9010918243427037,0.0989081756572963,0.7474145420238454,0.25258545797615467,0.8063473047970924,0.19365269520290757,0.5660049366633948,0.43399506333660515,0.7409217063964888,0.259078293603511
Mercer County,34021035002,0.5234544546354466,0.47654554536455346,0.9462763820884665,0.05372361791153352,0.9062346412321116,0.09376535876788834,0.8789172536530652,0.1210827463469348,0.547854408642112,0.452145591357888,0.8769740185288804,0.12302598147111964,0.5311069373985153,0.46889306260148467,0.9459485438383816,0.05405145616161847,0.8773519552902339,0.12264804470976615,0.8185969453188369,0.18140305468116313,0.5816608486293394,0.4183391513706606,0.826242736640766,0.17375726335923405,0.6676453535569109,0.33235464644308904,0.8916931870792713,0.10830681292072876,0.7537541180430906,0.24624588195690947,0.8529394216185019,0.14706057838149805,0.5171305846166793,0.4828694153833207,0.6903269793509427,0.30967302064905733,0.6512116787474875,0.34878832125251247,0.9048849278689566,0.09511507213104341,0.7474964288808986,0.2525035711191014,0.8068874143131465,0.19311258568685358,0.5632348015251281,0.43676519847487194,0.7424374144269892,0.2575625855730108
Mercer County,34021035003,0.6288434083229199,0.3711565916770801,0.9682743795607838,0.03172562043921625,0.9265197214355028,0.07348027856449721,0.8952240713191479,0.10477592868085206,0.5389990716786046,0.46100092832139533,0.8726622603604396,0.12733773963956047,0.5978458357244537,0.40215416427554623,0.9703339271867086,0.02966607281329135,0.8944738395222048,0.10552616047779517,0.8271849864404677,0.17281501355953235,0.5713242669242918,0.4286757330757082,0.8304697912768952,0.16953020872310473,0.5597512360369318,0.4402487639630682,0.8990608132641715,0.1009391867358285,0.7115258068088043,0.28847419319119577,0.8417422252994201,0.15825777470057986,0.5146838336488156,0.4853161663511843,0.6837551588286813,0.3162448411713186,0.5370353093605047,0.46296469063949536,0.8899095143046742,0.11009048569532577,0.7005142944311518,0.29948570556884824,0.7940076269522266,0.2059923730477734,0.568384444125992,0.431615555874008,0.7316139810924271,0.26838601890757285
Mercer County,34021035004,0.5771935124999326,0.4228064875000674,0.9699475994178678,0.03005240058213218,0.9046729916260847,0.09532700837391506,0.8845004172352838,0.11549958276471617,0.5450538643561403,0.4549461356438597,0.8775902549618226,0.12240974503817739,0.5529681839296785,0.44703181607032155,0.9531100921547027,0.0468899078452973,0.8745675964719947,0.1254324035280051,0.8277180154779602,0.17228198452203977,0.5738303268231438,0.426169673176856,0.8299687512028707,0.17003124879712903,0.6686595974069316,0.33134040259306846,0.8917839056865745,0.10821609431342553,0.7361084485822784,0.26389155141772164,0.8608800090509633,0.13911999094903674,0.5243026205599263,0.4756973794400735,0.6992187360560023,0.30078126394399773,0.6549619502455518,0.3450380497544482,0.9164189924308169,0.0835810075691831,0.7517047447159972,0.24829525528400254,0.8055967979349641,0.19440320206503597,0.5633265268576438,0.4366734731423559,0.7395729114014373,0.2604270885985627
Mercer County,34021035005,0.4509791112725143,0.5490208887274858,0.9407673558630703,0.05923264413692976,0.9016063595580718,0.09839364044192819,0.8802631236815021,0.11973687631849794,0.543254536234519,0.4567454637654809,0.8684304346474891,0.13156956535251083,0.42583636063843855,0.5741636393615615,0.9569595904993916,0.04304040950060846,0.8682705734448979,0.13172942655510214,0.8114938963928937,0.18850610360710623,0.5732193820642699,0.4267806179357301,0.8217442143853225,0.17825578561467748,0.6392444603259734,0.36075553967402657,0.897988106677098,0.102011893322902,0.7448836913941254,0.25511630860587464,0.8519334356059152,0.14806656439408455,0.5203692418123986,0.47963075818760137,0.7012367950264285,0.29876320497357145,0.6061019180274936,0.3938980819725064,0.9043571453496867,0.0956428546503133,0.7543398354865334,0.2456601645134666,0.8041834361848029,0.19581656381519683,0.5643433753893157,0.4356566246106844,0.74169869322968,0.25830130677032004
Mercer County,34021035006,0.5510772929706474,0.44892270702935233,0.9480582397896317,0.051941760210368344,0.9080920924919321,0.09190790750806789,0.8818530793082207,0.11814692069177937,0.5444553442790498,0.4555446557209502,0.8752232909237905,0.12477670907620948,0.5780399614152241,0.42196003858477593,0.9479743390839664,0.05202566091603356,0.8798900409364085,0.12010995906359147,0.8184521179537857,0.1815478820462143,0.5703093605028023,0.4296906394971976,0.8248836444901663,0.1751163555098337,0.6887525882630882,0.3112474117369118,0.8893832662975127,0.11061673370248729,0.7467069271033111,0.25329307289668895,0.8560393552923813,0.1439606447076187,0.5165531948083384,0.4834468051916616,0.6967774010156227,0.30322259898437737,0.6616484012525191,0.33835159874748066,0.9017300360450692,0.09826996395493086,0.7630410292849461,0.23695897071505387,0.8085039670376616,0.19149603296233841,0.5666009784257671,0.43339902157423293,0.7394195095259504,0.2605804904740496
Mercer County,34021035007,0.6507979530052912,0.34920204699470864,0.9539329932157687,0.0460670067842312,0.9003004594066234,0.09969954059337664,0.8957595670803432,0.10424043291965676,0.5483272006966491,0.4516727993033509,0.8710884621107543,0.12891153788924573,0.6145772282763625,0.38542277172363737,0.954897527658444,0.04510247234155592,0.8722802655615056,0.1277197344384944,0.8177477301772158,0.1822522698227842,0.5766559790367282,0.42334402096327184,0.8263297407031299,0.17367025929687005,0.6920777520887694,0.3079222479112304,0.8916922431974008,0.10830775680259916,0.739835450042422,0.260164549957578,0.8571955498121155,0.14280445018788446,0.5137561138265349,0.4862438861734651,0.6975406593242353,0.30245934067576474,0.6848148225678106,0.3151851774321893,0.8950584508722517,0.10494154912774833,0.7446946560582028,0.2553053439417971,0.8107371806501541,0.18926281934984585,0.5685772849005325,0.4314227150994675,0.7405896809216688,0.2594103190783313
Mercer County,34021035008,0.5231646459480783,0.47683535405192146,0.9440283624294623,0.055971637570537705,0.9076006786116074,0.09239932138839253,0.881568989268363,0.11843101073163693,0.5430955965395438,0.45690440346045624,0.870943663715837,0.12905633628416285,0.47211002474345726,0.5278899752565426,0.9491682939362853,0.05083170606371463,0.8718537856932668,0.1281462143067332,0.8153811482960373,0.18461885170396278,0.5727651111358925,0.4272348888641076,0.8235257811973814,0.17647421880261843,0.6862449396686225,0.3137550603313772,0.896096612830673,0.10390338716932702,0.7399014342089791,0.26009856579102086,0.8563844475846473,0.1436155524153528,0.5209206926432257,0.4790793073567743,0.6937718388303159,0.30622816116968393,0.663014079278887,0.3369859207211128,0.9033410682002155,0.09665893179978448,0.7529437413795236,0.24705625862047645,0.8065617031194969,0.1934382968805031,0.5707483616653085,0.42925163833469143,0.7529646547324093,0.24703534526759052
