county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_cru,vap_white.uss_18_dem_oro,vap_black.uss_18_rep_cru,vap_black.uss_18_dem_oro,vap_hisp.uss_18_rep_cru,vap_hisp.uss_18_dem_oro,vap_oth.uss_18_rep_cru,vap_oth.uss_18_dem_oro,vap_white.gov_18_rep_abb,vap_white.gov_18_dem_val,vap_black.gov_18_rep_abb,vap_black.gov_18_dem_val,vap_hisp.gov_18_rep_abb,vap_hisp.gov_18_dem_val,vap_oth.gov_18_rep_abb,vap_oth.gov_18_dem_val,vap_white.atg_18_rep_pax,vap_white.atg_18_dem_nel,vap_black.atg_18_rep_pax,vap_black.atg_18_dem_nel,vap_hisp.atg_18_rep_pax,vap_hisp.atg_18_dem_nel,vap_oth.atg_18_rep_pax,vap_oth.atg_18_dem_nel,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_cor,vap_white.uss_20_dem_heg,vap_black.uss_20_rep_cor,vap_black.uss_20_dem_heg,vap_hisp.uss_20_rep_cor,vap_hisp.uss_20_dem_heg,vap_oth.uss_20_rep_cor,vap_oth.uss_20_dem_heg
Anderson County,48001000001,0.9563442085831043,0.043655791416895656,0.4830624374075643,0.5169375625924356,0.4541323395550025,0.5458676604449976,0.42953483253203356,0.5704651674679664,0.9480711925635867,0.051928807436413225,0.4306376237267228,0.5693623762732772,0.42381518856700723,0.5761848114329928,0.4026880725226319,0.5973119274773682,0.964375604814573,0.035624395185427066,0.516083867058388,0.4839161329416119,0.5362837433335327,0.4637162566664673,0.45704351963719375,0.5429564803628063,0.94562740948048,0.05437259051951999,0.44832320576262663,0.5516767942373734,0.40258040416547863,0.5974195958345214,0.37032657091247506,0.6296734290875249,0.9490498955428788,0.050950104457121205,0.32746219233183027,0.6725378076681697,0.4355388346943212,0.5644611653056788,0.4503344898293057,0.5496655101706943,0.9639738340805356,0.0360261659194644,0.3347404178367087,0.6652595821632913,0.4659124809231396,0.5340875190768604,0.3889761160735324,0.6110238839264677
Anderson County,48001000002,0.971772466771335,0.02822753322866495,0.334515530371878,0.665484469628122,0.3525603077756391,0.6474396922243608,0.38576336524926996,0.6142366347507301,0.9579105896035464,0.042089410396453614,0.3228171818229714,0.6771828181770285,0.32433008691608034,0.6756699130839197,0.35707712364809335,0.6429228763519066,0.9797161410486974,0.020283858951302525,0.32070163555152087,0.6792983644484791,0.41537514231269757,0.5846248576873024,0.420869438876024,0.579130561123976,0.9656853274576727,0.03431467254232736,0.32186023744344694,0.6781397625565531,0.31705508343602395,0.682944916563976,0.32562353761173246,0.6743764623882675,0.9743868002815468,0.025613199718453255,0.3251121601976331,0.6748878398023669,0.3663013888851441,0.6336986111148559,0.41736855085920305,0.582631449140797,0.9829907254890605,0.017009274510939525,0.2907994532227777,0.7092005467772223,0.3400314099101019,0.6599685900898982,0.34861190358473365,0.6513880964152664
Anderson County,48001000003,0.9834468600064892,0.016553139993510806,0.4335151015856854,0.5664848984143146,0.475753684126028,0.5242463158739721,0.44400906797966216,0.5559909320203378,0.9771863506258966,0.022813649374103386,0.3958771355314616,0.6041228644685385,0.35731345169101086,0.6426865483089892,0.39170031594510957,0.6082996840548904,0.9833806650909793,0.016619334909020705,0.4192723473324344,0.5807276526675657,0.5357202467524719,0.4642797532475281,0.4659611720055313,0.5340388279944688,0.9697272632990608,0.030272736700939166,0.3822143403571048,0.6177856596428952,0.33304438543177584,0.6669556145682242,0.36398963730967215,0.6360103626903278,0.9794239282116906,0.020576071788309457,0.3839439090370314,0.6160560909629686,0.4149979145091044,0.5850020854908956,0.45300212085954894,0.5469978791404511,0.9845950643579624,0.015404935642037562,0.3682129673527722,0.6317870326472278,0.4078040318980807,0.5921959681019193,0.3881183598995638,0.6118816401004362
Anderson County,48001000004,0.9753110447007718,0.024688955299228234,0.3508552483737144,0.6491447516262856,0.3580597110227156,0.6419402889772844,0.36066991061779874,0.6393300893822013,0.9626484979152685,0.03735150208473144,0.3534794302564638,0.6465205697435362,0.3120980541676208,0.6879019458323792,0.3418252355377611,0.6581747644622389,0.9799864642737628,0.020013535726237205,0.3492376919417734,0.6507623080582265,0.41362006575753624,0.5863799342424638,0.39851107694535,0.60148892305465,0.9507566022362633,0.04924339776373662,0.3597967645414381,0.640203235458562,0.3244844186752306,0.6755155813247694,0.3233143585972113,0.6766856414027886,0.9725697066052369,0.027430293394763116,0.33451385726766175,0.6654861427323382,0.3561107773734067,0.6438892226265933,0.37996733049472126,0.6200326695052787,0.9803572782363523,0.019642721763647675,0.3099895480552788,0.6900104519447212,0.3554426642045745,0.6445573357954255,0.30926435604320013,0.6907356439567999
Anderson County,48001000005,0.9940347402121268,0.005965259787872957,0.5047615417955738,0.4952384582044263,0.6724269108863934,0.3275730891136066,0.555356447650112,0.44464355234988795,0.9921894189430015,0.0078105810569984785,0.49345283221206987,0.5065471677879302,0.6086468923262662,0.39135310767373377,0.5026531826646718,0.49734681733532815,0.9945705682128847,0.005429431787115335,0.5105635755047829,0.4894364244952171,0.7394548589553455,0.26054514104465454,0.5900020050330991,0.4099979949669009,0.988603258847613,0.011396741152386966,0.4512495017048734,0.5487504982951266,0.49556778721697314,0.5044322127830269,0.4255607987574075,0.5744392012425925,0.9922915296355822,0.00770847036441779,0.47559914898347405,0.5244008510165259,0.6265068303434403,0.3734931696565597,0.5654138996475124,0.4345861003524875,0.996006533560267,0.003993466439732713,0.5032800566660356,0.4967199433339644,0.7038553730502461,0.2961446269497538,0.5610930402215449,0.43890695977845506
Anderson County,48001000006,0.8978812861531988,0.10211871384680112,0.184479902209012,0.815520097790988,0.3117513263277663,0.6882486736722337,0.40165297978113357,0.5983470202188664,0.706538766768537,0.29346123323146295,0.18153763284640623,0.8184623671535938,0.22666919348577622,0.7733308065142238,0.3629167897896697,0.6370832102103303,0.7894367558722939,0.21056324412770616,0.14594797106067986,0.8540520289393202,0.3001520913549244,0.6998479086450756,0.4301247338580415,0.5698752661419585,0.729177545553918,0.270822454446082,0.16656042392078285,0.8334395760792171,0.2238097041136955,0.7761902958863045,0.3399187437803455,0.6600812562196545,0.8764741974660432,0.1235258025339569,0.18934463162690546,0.8106553683730945,0.29249148947630094,0.707508510523699,0.4251143599842362,0.5748856400157638,0.9541167684794455,0.04588323152055454,0.161374485260343,0.838625514739657,0.2983664508450989,0.7016335491549011,0.35737964083771206,0.6426203591622879
Anderson County,48001000007,0.8063593270716262,0.19364067292837384,0.08548588132069172,0.9145141186793083,0.0886029879810448,0.9113970120189552,0.3570560781439073,0.6429439218560927,0.5556432213476603,0.44435677865233975,0.07894311113181637,0.9210568888681836,0.07977003033402953,0.9202299696659705,0.3179505640047794,0.6820494359952206,0.6803561135649707,0.3196438864350292,0.07611432875057832,0.9238856712494217,0.09517871097659411,0.9048212890234059,0.376122040569712,0.623877959430288,0.5821803097213224,0.4178196902786776,0.07545357928928789,0.9245464207107121,0.07169122224296491,0.9283087777570351,0.2933698331007854,0.7066301668992147,0.8446920532365638,0.15530794676343615,0.12077168599423238,0.8792283140057676,0.13386314231004648,0.8661368576899535,0.4111914598792727,0.5888085401207274,0.8506443755321897,0.14935562446781026,0.11098003812057979,0.8890199618794202,0.12722182864472828,0.8727781713552717,0.3422643398313543,0.6577356601686457
Anderson County,48001000008,0.7193495517565297,0.2806504482434703,0.1527919890226373,0.8472080109773625,0.18006529195903676,0.8199347080409632,0.3932184955144066,0.6067815044855934,0.589912855906237,0.410087144093763,0.16659623730458958,0.8334037626954102,0.17577746563742871,0.8242225343625713,0.3647613973387637,0.635238602661236,0.6736089038128901,0.3263910961871099,0.15766032313778003,0.84233967686222,0.21523359939948147,0.7847664006005185,0.42549261779929864,0.5745073822007014,0.6392942526548266,0.3607057473451734,0.15516735230449394,0.844832647695506,0.16564559442972177,0.8343544055702782,0.3484458208437163,0.6515541791562837,0.866417834359747,0.13358216564025308,0.21401952702744187,0.7859804729725579,0.25991396047875664,0.7400860395212434,0.4313062058985443,0.5686937941014557,0.8843520764029612,0.11564792359703883,0.1738828406117157,0.8261171593882843,0.2291826548105049,0.7708173451894951,0.37095546781878785,0.6290445321812121
Anderson County,48001000009,0.9610849574669631,0.03891504253303711,0.3126051886049037,0.6873948113950963,0.37334636259043735,0.6266536374095626,0.39729854493993577,0.6027014550600642,0.9602799560614896,0.039720043938510544,0.35166242469639614,0.6483375753036039,0.3572760972120358,0.6427239027879642,0.39021967109717093,0.6097803289028291,0.9735193248147672,0.026480675185232973,0.32217806242780944,0.6778219375721906,0.46793285540803603,0.532067144591964,0.4379191183717758,0.5620808816282242,0.9626034978150962,0.03739650218490397,0.3597380316711093,0.6402619683288907,0.34513474924098425,0.6548652507590158,0.3595949990061172,0.6404050009938829,0.9687385276150771,0.03126147238492316,0.33009117859849857,0.6699088214015014,0.39524339742793696,0.604756602572063,0.4397627881455411,0.5602372118544588,0.9783293340415815,0.02167066595841873,0.3043720773913368,0.6956279226086632,0.40464487230333135,0.5953551276966687,0.3669607102535538,0.6330392897464462
Anderson County,48001000010,0.9713469519786606,0.028653048021339358,0.8559366127648647,0.1440633872351353,0.7966392115610705,0.2033607884389295,0.4311696784432153,0.5688303215567847,0.9710379848385107,0.028962015161489284,0.8667781485323539,0.13322185146764615,0.8063307126765265,0.19366928732347358,0.40328799694745265,0.5967120030525473,0.9835554023049636,0.01644459769503638,0.8992496864658496,0.10075031353415041,0.8811163851489106,0.1188836148510895,0.4662569725232061,0.5337430274767939,0.972126892982862,0.027873107017137987,0.8703176520780542,0.12968234792194583,0.7973913171904476,0.20260868280955233,0.37893501755887216,0.6210649824411278,0.9758121332262091,0.024187866773790936,0.8431847059483485,0.1568152940516515,0.7940327716949199,0.2059672283050801,0.4649115006959156,0.5350884993040844,0.9828256106188824,0.017174389381117563,0.8573001504086842,0.1426998495913157,0.8146950403281868,0.18530495967181315,0.4100568242306395,0.5899431757693605
