county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_lan,vap_white.uss_16_dem_wor,vap_black.uss_16_rep_lan,vap_black.uss_16_dem_wor,vap_hisp.uss_16_rep_lan,vap_hisp.uss_16_dem_wor,vap_oth.uss_16_rep_lan,vap_oth.uss_16_dem_wor,vap_white.gov_18_rep_sti,vap_white.gov_18_dem_edm,vap_black.gov_18_rep_sti,vap_black.gov_18_dem_edm,vap_hisp.gov_18_rep_sti,vap_hisp.gov_18_dem_edm,vap_oth.gov_18_rep_sti,vap_oth.gov_18_dem_edm,vap_white.atg_18_rep_hun,vap_white.atg_18_dem_myl,vap_black.atg_18_rep_hun,vap_black.atg_18_dem_myl,vap_hisp.atg_18_rep_hun,vap_hisp.atg_18_dem_myl,vap_oth.atg_18_rep_hun,vap_oth.atg_18_dem_myl,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_inh,vap_white.uss_20_dem_bro,vap_black.uss_20_rep_inh,vap_black.uss_20_dem_bro,vap_hisp.uss_20_rep_inh,vap_hisp.uss_20_dem_bro,vap_oth.uss_20_rep_inh,vap_oth.uss_20_dem_bro
Tulsa County,40143000063,0.49095797389288426,0.5090420261071158,0.10440289744185687,0.8955971025581432,0.33646984692224796,0.6635301530777521,0.1492549569665112,0.8507450430334887,0.5718477026912887,0.4281522973087113,0.08252572753960682,0.9174742724603931,0.4181974870560272,0.5818025129439728,0.28879597975806864,0.7112040202419313,0.38860215899886646,0.6113978410011336,0.10354772063934872,0.8964522793606513,0.27990006004203377,0.7200999399579662,0.1136238127694767,0.8863761872305234,0.5318523004202163,0.46814769957978375,0.07942148035654625,0.9205785196434537,0.2946205690911944,0.7053794309088056,0.10904186627054255,0.8909581337294574,0.46999849061435056,0.5300015093856494,0.0816515257750485,0.9183484742249515,0.222991969785397,0.777008030214603,0.12841017881899047,0.8715898211810095,0.4473372373207918,0.5526627626792082,0.08655047835893863,0.9134495216410614,0.24139618557385606,0.758603814426144,0.1121826674127928,0.8878173325872072
Tulsa County,40143000064,0.5287586898432329,0.4712413101567671,0.09280877957275982,0.9071912204272402,0.3348671414785821,0.6651328585214179,0.1453993745832422,0.8546006254167577,0.6001542186922525,0.3998457813077475,0.08074964354943868,0.9192503564505613,0.41497508908134234,0.5850249109186576,0.28658900510715674,0.7134109948928431,0.4037882989721403,0.5962117010278597,0.09045308506759708,0.9095469149324029,0.2815098194244028,0.7184901805755972,0.11676287905531636,0.8832371209446834,0.4995354958436686,0.5004645041563315,0.0725470449019276,0.9274529550980724,0.2893543049909953,0.7106456950090048,0.10471415059593511,0.8952858494040646,0.47681983890237395,0.5231801610976261,0.0681417063721431,0.9318582936278569,0.21980002236499324,0.7801999776350068,0.12713767533947737,0.8728623246605226,0.4697837193371608,0.5302162806628392,0.07860346411984846,0.9213965358801516,0.23658245938322708,0.7634175406167729,0.11004845908645006,0.8899515409135497
Tulsa County,40143000065,0.6007511522377201,0.39924884776227987,0.08005078118444839,0.9199492188155516,0.34342480784132917,0.6565751921586708,0.15915554979709726,0.8408444502029028,0.7423183780264282,0.2576816219735718,0.08944988533502701,0.9105501146649729,0.4188271305488894,0.5811728694511106,0.30383105578837866,0.6961689442116213,0.5095371337453187,0.4904628662546813,0.10092535781231732,0.8990746421876826,0.280853236239779,0.719146763760221,0.1366699296187236,0.8633300703812764,0.6676233351471507,0.33237666485284934,0.07650571755101088,0.9234942824489891,0.304827414015512,0.695172585984488,0.11737426708029407,0.8826257329197059,0.6014889332365042,0.3985110667634958,0.0873938658813687,0.9126061341186313,0.22149346962773153,0.7785065303722685,0.13839712435811935,0.86160287564188065,0.6244201398565661,0.3755798601434339,0.08868689127643054,0.9113131087235694,0.24350479166867617,0.7564952083313238,0.12642594906777582,0.8735740509322242
Tulsa County,40143000066,0.5306441252083678,0.4693558747916322,0.09810615962137544,0.9018938403786245,0.3396394315319543,0.6603605684680457,0.1459276784974574,0.8540723215025425,0.7027389273710524,0.2972610726289476,0.08143198541164236,0.9185680145883577,0.41716508557693727,0.5828349144230628,0.29933031892481887,0.7006696810751811,0.45831300076542214,0.5416869992345779,0.09033017020260885,0.9096698297973912,0.2786294287790904,0.7213705712209096,0.11820235337150535,0.8817976466284947,0.6248596773880676,0.3751403226119324,0.08301354075097953,0.9169864592490204,0.29586342297879287,0.7041365770212071,0.11633502036290956,0.8836649796370905,0.5683466698811828,0.43165333011881724,0.08616999920707781,0.9138300007929222,0.22326803244567328,0.7767319675543267,0.12813249572304894,0.871867504276951,0.5991640855634331,0.4008359144365669,0.07936060644074498,0.9206393935592551,0.2426013500269083,0.7573986499730917,0.12224129951307199,0.8777587004869281
Tulsa County,40143000067,0.5218887360138869,0.4781112639861131,0.09353978901603059,0.9064602109839692,0.33900815724411076,0.6609918427558893,0.1576585170188096,0.8423414829811904,0.6753448582924305,0.32465514170756954,0.08850368268699664,0.9114963173130034,0.42288246720019784,0.5771175327998022,0.29600575436286447,0.7039942456371355,0.4651934518948272,0.5348065481051728,0.09824151874959629,0.9017584812504037,0.28650421038071266,0.7134957896192873,0.11760343123928663,0.8823965687607134,0.5716100692885373,0.4283899307114627,0.08145951131632755,0.9185404886836722,0.30188008935122507,0.6981199106487749,0.1107463977213796,0.8892536022786204,0.5654855404355813,0.4345144595644187,0.0769869508866416,0.9230130491133584,0.22304090279341765,0.7769590972065824,0.13646628660330912,0.8635337133966908,0.5727447348918641,0.42725526510813594,0.08865576288782814,0.9113442371121718,0.2456409297929209,0.7543590702070792,0.13028896801345838,0.8697110319865416
Tulsa County,40143000068,0.5467782889653238,0.4532217110346763,0.10167063617695904,0.8983293638230407,0.34044277310850696,0.6595572268914931,0.15321928624128847,0.8467807137587116,0.6153949241564556,0.3846050758435445,0.0775069894125153,0.9224930105874845,0.4112256494877204,0.5887743505122797,0.2942200323721844,0.7057799676278156,0.4295112307981338,0.5704887692018662,0.09216386236312117,0.9078361376368789,0.27630348141653943,0.7236965185834606,0.09841005598195199,0.901589944018048,0.5302645733831682,0.46973542661683176,0.07174796084824628,0.9282520391517537,0.2845853604859162,0.7154146395140838,0.10973200178396814,0.8902679982160319,0.5389434189680701,0.4610565810319299,0.06641638082239822,0.9335836191776018,0.20992823192037688,0.7900717680796231,0.12848231499711926,0.8715176850028807,0.5385804699379637,0.4614195300620363,0.07066215306582284,0.9293378469341772,0.23659796388879614,0.7634020361112038,0.11170100295458987,0.8882989970454102
Tulsa County,40143000069,0.634838945118792,0.365161054881208,0.09748049635149515,0.9025195036485049,0.33267139681951813,0.6673286031804819,0.14716184198898025,0.8528381580110197,0.7421199829017251,0.25788001709827485,0.09436548331240532,0.9056345166875946,0.4103320023965627,0.5896679976034374,0.2892128206538764,0.7107871793461237,0.524270504250411,0.47572949574958895,0.09933620694712092,0.9006637930528791,0.27878549028831795,0.721214509711682,0.10993528802259984,0.8900647119774001,0.6576302353768211,0.342369764623179,0.07311643909158351,0.9268835609084165,0.29375865242787086,0.7062413475721292,0.10914922995678321,0.8908507700432168,0.6207740851731401,0.37922591482685986,0.08609648660604369,0.9139035133939564,0.22168876530831091,0.7783112346916891,0.1322865980012891,0.8677134019987109,0.6202878313261923,0.37971216867380775,0.07812793596645928,0.9218720640335407,0.2334578429112375,0.7665421570887625,0.1066263217755633,0.8933736782244367
Tulsa County,40143000070,0.9253441484475643,0.07465585155243568,0.10177691712978819,0.8982230828702118,0.388031921478946,0.6119680785210541,0.1794168322561014,0.8205831677438986,0.9334280445633554,0.06657195543664457,0.08835555126214191,0.9116444487378581,0.45556118846068155,0.5444388115393184,0.3173998452330999,0.6826001547669001,0.7520290195592874,0.24797098044071259,0.11414803338917195,0.8858519666108281,0.30016305674875327,0.6998369432512467,0.14299934276218507,0.8570006572378149,0.8698567990754467,0.13014320092455328,0.0826569327568442,0.9173430672431558,0.3056223193227618,0.6943776806772383,0.1290628182068289,0.8709371817931711,0.8849800527068343,0.11501994729316566,0.07521856042690217,0.9247814395730978,0.21041119705172387,0.7895888029482762,0.1521480704062101,0.84785192959379,0.8733650795776255,0.1266349204223744,0.0763047989297936,0.9236952010702063,0.26964223475720184,0.7303577652427982,0.14597541280058263,0.8540245871994173
Tulsa County,40143000071,0.5621319698596915,0.4378680301403085,0.10350321281616771,0.8964967871838323,0.34024762200218106,0.6597523779978189,0.16315122458502876,0.8368487754149713,0.7070940543202302,0.2929059456797698,0.0944454008845072,0.9055545991154929,0.4203666048897634,0.5796333951102366,0.2990151323575544,0.7009848676424456,0.4810111015101535,0.5189888984898464,0.0923100732855677,0.9076899267144323,0.2821340464625491,0.717865953537451,0.11878599568255449,0.8812140043174456,0.6237458989916206,0.37625410100837936,0.0878941318655083,0.9121058681344917,0.3062374020609429,0.6937625979390571,0.11331243500306117,0.8866875649969388,0.6059748591591917,0.39402514084080836,0.08224205192354063,0.9177579480764594,0.22489642986176697,0.7751035701382331,0.13362852226391042,0.8663714777360896,0.6037725206151224,0.3962274793848775,0.08191172851181808,0.918088271488182,0.24222391060079712,0.7577760893992029,0.11873681855821588,0.8812631814417842
Tulsa County,40143000072,0.6137162865559511,0.3862837134440489,0.09403051733644109,0.9059694826635589,0.3429154500113892,0.6570845499886108,0.15680069252785253,0.8431993074721474,0.7027230913246434,0.2972769086753566,0.052108594339661335,0.9478914056603384,0.4247711669362822,0.5752288330637179,0.3033825776026298,0.6966174223973701,0.4850515236681153,0.5149484763318847,0.09472514132304076,0.905274858676959,0.2847093133706524,0.7152906866293476,0.12076842918313228,0.8792315708168678,0.6850630089793053,0.31493699102069467,0.08735293833977512,0.9126470616602247,0.3053483147840722,0.6946516852159278,0.1264539174987901,0.8735460825012099,0.5761315950253529,0.42386840497464706,0.07743515723992057,0.9225648427600792,0.22379528027991352,0.7762047197200864,0.13587409285729724,0.8641259071427028,0.582779692069701,0.4172203079302989,0.08924608033270552,0.9107539196672942,0.24375420889232216,0.7562457911076779,0.12243639184794969,0.8775636081520504
