county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_wie,vap_white.uss_16_rep_mor,vap_black.uss_16_dem_wie,vap_black.uss_16_rep_mor,vap_hisp.uss_16_dem_wie,vap_hisp.uss_16_rep_mor,vap_oth.uss_16_dem_wie,vap_oth.uss_16_rep_mor,vap_white.gov_18_dem_kel,vap_white.gov_18_rep_kob,vap_black.gov_18_dem_kel,vap_black.gov_18_rep_kob,vap_hisp.gov_18_dem_kel,vap_hisp.gov_18_rep_kob,vap_oth.gov_18_dem_kel,vap_oth.gov_18_rep_kob,vap_white.atg_18_rep_sch,vap_white.atg_18_dem_swa,vap_black.atg_18_rep_sch,vap_black.atg_18_dem_swa,vap_hisp.atg_18_rep_sch,vap_hisp.atg_18_dem_swa,vap_oth.atg_18_rep_sch,vap_oth.atg_18_dem_swa,vap_white.sos_18_rep_sch,vap_white.sos_18_dem_mcc,vap_black.sos_18_rep_sch,vap_black.sos_18_dem_mcc,vap_hisp.sos_18_rep_sch,vap_hisp.sos_18_dem_mcc,vap_oth.sos_18_rep_sch,vap_oth.sos_18_dem_mcc,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_bol,vap_white.uss_20_rep_mar,vap_black.uss_20_dem_bol,vap_black.uss_20_rep_mar,vap_hisp.uss_20_dem_bol,vap_hisp.uss_20_rep_mar,vap_oth.uss_20_dem_bol,vap_oth.uss_20_rep_mar
Sedgwick County,20173131030,0.2803381937709365,0.7196618062290635,0.7721136335588696,0.22788636644113042,0.7791123312258885,0.22088766877411142,0.6302992445627779,0.3697007554372219,0.18130510303806452,0.8186948969619352,0.7918575402643889,0.2081424597356111,0.7740544285111792,0.22594557148882077,0.5448358321996162,0.45516416780038366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedgwick County,20173131060,0.2666562122409002,0.7333437877590998,0.753416930947692,0.24658306905230795,0.7580758866709197,0.24192411332908023,0.552030275218916,0.447969724781084,0.22499360846180289,0.7750063915381972,0.7682843526035413,0.2317156473964586,0.7361480775225661,0.26385192247743394,0.5109012282621338,0.4890987717378662,0.4338307900424443,0.5661692099575557,0.8185019855798918,0.1814980144201081,0.7984776328631362,0.20152236713686375,0.6014144873234697,0.39858551267653025,0.7182103025690564,0.2817896974309436,0.22495860286954844,0.7750413971304515,0.24109362977585527,0.7589063702241448,0.31060088652124135,0.6893991134787587,0.6472232030617957,0.3527767969382043,0.20544882406280696,0.794551175937193,0.22824742621589555,0.7717525737841044,0.2880816950134482,0.7119183049865518,0.29253504948136294,0.707464950518637,0.8848154724816573,0.1151845275183428,0.7751699682203176,0.2248300317796824,0.6572469610919218,0.34275303890807823,0.3148626058653135,0.6851373941346864,0.8503015057398273,0.14969849426017262,0.8167939137101653,0.1832060862898347,0.6457216470284098,0.3542783529715901
Sedgwick County,20173131090,0.024661314636345272,0.9753386853636546,0.7422128959858152,0.25778710401418503,0.7145341715459161,0.28546582845408386,0.7715462622226815,0.2284537377773185,0.024661314636345272,0.9753386853636546,0.7422128959858152,0.25778710401418503,0.7145341715459161,0.28546582845408386,0.7715462622226815,0.2284537377773185,0.42173322177559763,0.5782667782244024,0.18463625581719567,0.8153637441828043,0.17237582947173602,0.8276241705282641,0.030192747742153303,0.9698072522578469,0.42173322177559763,0.5782667782244024,0.18463625581719567,0.8153637441828043,0.17237582947173602,0.8276241705282641,0.030192747742153303,0.9698072522578469,0.42173322177559763,0.5782667782244024,0.18463625581719567,0.8153637441828043,0.17237582947173602,0.8276241705282641,0.030192747742153303,0.9698072522578469,0.496488048853931,0.5035119511460691,0.4320075650368453,0.5679924349631547,0.04920042975617142,0.9507995702438287,0.7817078934546283,0.21829210654537176,0.496488048853931,0.5035119511460691,0.4320075650368453,0.5679924349631547,0.04920042975617142,0.9507995702438287,0.7817078934546283,0.21829210654537176
Sedgwick County,20173131100,0.22524145057413714,0.7747585494258629,0.7648158132662918,0.23518418673370825,0.7895942511333846,0.2104057488666154,0.6138194978900395,0.38618050210996024,0.20772881058573411,0.7922711894142659,0.7794419500227868,0.2205580499772132,0.786074756711005,0.21392524328899504,0.5802759395553783,0.4197240604446218,0.36236097287601726,0.6376390271239828,0.856026743428053,0.14397325657194707,0.8203929524999474,0.17960704750005257,0.5995415333064908,0.4004584666935091,0.7975155140285303,0.20248448597146976,0.21982249455097222,0.7801775054490278,0.21218239013555257,0.7878176098644475,0.30097053094406545,0.6990294690559345,0.6970798357418357,0.3029201642581642,0.2103816091464521,0.7896183908535479,0.19859412697479073,0.8014058730252093,0.27070545491955084,0.7292945450804491,0.33957388784339176,0.6604261121566082,0.8665251216550609,0.1334748783449391,0.8169821961183215,0.18301780388167854,0.7205870556886104,0.2794129443113897,0.3695288687577409,0.6304711312422591,0.8570564055919465,0.1429435944080535,0.8508893110868005,0.1491106889131994,0.7142081181172997,0.28579188188270027
Sedgwick County,20173131360,0.2236792547140471,0.7763207452859529,0.4846532452980669,0.5153467547019329,0.3728189902248353,0.6271810097751647,0.15110661158668323,0.8488933884133167,0.1883131643016648,0.8116868356983352,0.4604478906553916,0.5395521093446082,0.3452345158367019,0.654765484163298,0.1550226513507778,0.8449773486492222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedgwick County,20173131380,0.42173322177559763,0.5782667782244024,0.18463625581719567,0.8153637441828043,0.17237582947173602,0.8276241705282641,0.030192747742153303,0.9698072522578469,0.42173322177559763,0.5782667782244024,0.18463625581719567,0.8153637441828043,0.17237582947173602,0.8276241705282641,0.030192747742153303,0.9698072522578469,0.3002687445194749,0.6997312554805251,0.15677223337902924,0.8432277666209709,0.40431909748331796,0.595680902516682,0.2670293782955804,0.7329706217044195,0.3002687445194749,0.6997312554805251,0.15677223337902924,0.8432277666209709,0.40431909748331796,0.595680902516682,0.2670293782955804,0.7329706217044195,0.3002687445194749,0.6997312554805251,0.15677223337902924,0.8432277666209709,0.40431909748331796,0.595680902516682,0.2670293782955804,0.7329706217044195,0.601287642175723,0.39871235782427683,0.7593030408009267,0.24069695919907322,0.32662460096126233,0.6733753990387377,0.5914036245378967,0.4085963754621033,0.601287642175723,0.39871235782427683,0.7593030408009267,0.24069695919907322,0.32662460096126233,0.6733753990387377,0.5914036245378967,0.4085963754621033
Sedgwick County,20173131410,0.25140827880646577,0.7485917211935342,0.759205985812291,0.24079401418770896,0.7854633599022325,0.21453664009776752,0.5943012374882684,0.40569876251173165,0.20562155895759796,0.7943784410424021,0.7690946990038986,0.2309053009961014,0.7743467577748905,0.22565324222510946,0.5316227300794316,0.4683772699205684,0.42195398008216195,0.578046019917838,0.8427369322549342,0.1572630677450658,0.8286707185124874,0.17132928148751264,0.6264481448203846,0.3735518551796154,0.7389235545966849,0.2610764454033151,0.1976514509125189,0.8023485490874811,0.2361683552427899,0.7638316447572101,0.29749882526700894,0.702501174732991,0.665027056676993,0.334972943323007,0.18585682584408428,0.8141431741559157,0.18844334614574312,0.8115566538542569,0.2654888532992878,0.7345111467007122,0.28262044997687275,0.7173795500231273,0.866735748995433,0.133264251004567,0.8111277647221498,0.18887223527785021,0.6850176072862757,0.314982392713724,0.28941766652271794,0.7105823334772821,0.8487597528940484,0.15124024710595163,0.8398418466292982,0.16015815337070188,0.6668862216881873,0.33311377831181244
Sedgwick County,20173131600,0.7593004411283903,0.24069955887160965,0.26089283420542975,0.7391071657945703,0.5242899924164299,0.4757100075835699,0.7784299202004393,0.22157007979956078,0.7593004411283903,0.24069955887160965,0.26089283420542975,0.7391071657945703,0.5242899924164299,0.4757100075835699,0.7784299202004393,0.22157007979956078,0.8174462419106434,0.1825537580893567,0.5949005585296692,0.40509944147033083,0.9218232884227673,0.0781767115772326,0.9191050680847815,0.0808949319152184,0.8174462419106434,0.1825537580893567,0.5949005585296692,0.40509944147033083,0.9218232884227673,0.0781767115772326,0.9191050680847815,0.0808949319152184,0.8174462419106434,0.1825537580893567,0.5949005585296692,0.40509944147033083,0.9218232884227673,0.0781767115772326,0.9191050680847815,0.0808949319152184,0.12723300591905273,0.8727669940809473,0.20649400288754738,0.7935059971124527,0.715015811182436,0.28498418881756415,0.6678616381429947,0.33213836185700535,0.12723300591905273,0.8727669940809473,0.20649400288754738,0.7935059971124527,0.715015811182436,0.28498418881756415,0.6678616381429947,0.33213836185700535
Sedgwick County,20173131680,0.3002687445194749,0.6997312554805251,0.15677223337902924,0.8432277666209709,0.40431909748331796,0.595680902516682,0.2670293782955804,0.7329706217044195,0.3002687445194749,0.6997312554805251,0.15677223337902924,0.8432277666209709,0.40431909748331796,0.595680902516682,0.2670293782955804,0.7329706217044195,0.8701136683126753,0.1298863316873245,0.3861737969160224,0.6138262030839776,0.5991614323669204,0.4008385676330797,0.07288429006124786,0.927115709938752,0.8701136683126753,0.1298863316873245,0.3861737969160224,0.6138262030839776,0.5991614323669204,0.4008385676330797,0.07288429006124786,0.927115709938752,0.8701136683126753,0.1298863316873245,0.3861737969160224,0.6138262030839776,0.5991614323669204,0.4008385676330797,0.07288429006124786,0.927115709938752,0.7005037257596358,0.2994962742403642,0.44078029743346075,0.5592197025665393,0.8160681365336354,0.1839318634663647,0.7190588494441021,0.2809411505558978,0.7005037257596358,0.2994962742403642,0.44078029743346075,0.5592197025665393,0.8160681365336354,0.1839318634663647,0.7190588494441021,0.2809411505558978
Sedgwick County,20173140060,0.496488048853931,0.5035119511460691,0.4320075650368453,0.5679924349631547,0.04920042975617142,0.9507995702438287,0.7817078934546283,0.21829210654537176,0.496488048853931,0.5035119511460691,0.4320075650368453,0.5679924349631547,0.04920042975617142,0.9507995702438287,0.7817078934546283,0.21829210654537176,0.601287642175723,0.39871235782427683,0.7593030408009267,0.24069695919907322,0.32662460096126233,0.6733753990387377,0.5914036245378967,0.4085963754621033,0.601287642175723,0.39871235782427683,0.7593030408009267,0.24069695919907322,0.32662460096126233,0.6733753990387377,0.5914036245378967,0.4085963754621033,0.601287642175723,0.39871235782427683,0.7593030408009267,0.24069695919907322,0.32662460096126233,0.6733753990387377,0.5914036245378967,0.4085963754621033,0.05008369643223523,0.9499163035677647,0.5966022619248363,0.40339773807516366,0.6438054674601944,0.3561945325398057,0.25843147569568203,0.7415685243043181,0.05008369643223523,0.9499163035677647,0.5966022619248363,0.40339773807516366,0.6438054674601944,0.3561945325398057,0.25843147569568203,0.7415685243043181
