county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_16_dem_ben,vap_white.uss_16_rep_gle,vap_black.uss_16_dem_ben,vap_black.uss_16_rep_gle,vap_hisp.uss_16_dem_ben,vap_hisp.uss_16_rep_gle,vap_asian.uss_16_dem_ben,vap_asian.uss_16_rep_gle,vap_aian.uss_16_dem_ben,vap_aian.uss_16_rep_gle,vap_oth_b.uss_16_dem_ben,vap_oth_b.uss_16_rep_gle,vap_white.gov_18_dem_pol,vap_white.gov_18_rep_sta,vap_black.gov_18_dem_pol,vap_black.gov_18_rep_sta,vap_hisp.gov_18_dem_pol,vap_hisp.gov_18_rep_sta,vap_asian.gov_18_dem_pol,vap_asian.gov_18_rep_sta,vap_aian.gov_18_dem_pol,vap_aian.gov_18_rep_sta,vap_oth_b.gov_18_dem_pol,vap_oth_b.gov_18_rep_sta,vap_white.atg_18_dem_wei,vap_white.atg_18_rep_bra,vap_black.atg_18_dem_wei,vap_black.atg_18_rep_bra,vap_hisp.atg_18_dem_wei,vap_hisp.atg_18_rep_bra,vap_asian.atg_18_dem_wei,vap_asian.atg_18_rep_bra,vap_aian.atg_18_dem_wei,vap_aian.atg_18_rep_bra,vap_oth_b.atg_18_dem_wei,vap_oth_b.atg_18_rep_bra,vap_white.sos_18_dem_gri,vap_white.sos_18_rep_wil,vap_black.sos_18_dem_gri,vap_black.sos_18_rep_wil,vap_hisp.sos_18_dem_gri,vap_hisp.sos_18_rep_wil,vap_asian.sos_18_dem_gri,vap_asian.sos_18_rep_wil,vap_aian.sos_18_dem_gri,vap_aian.sos_18_rep_wil,vap_oth_b.sos_18_dem_gri,vap_oth_b.sos_18_rep_wil,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.uss_20_dem_hic,vap_white.uss_20_rep_gar,vap_black.uss_20_dem_hic,vap_black.uss_20_rep_gar,vap_hisp.uss_20_dem_hic,vap_hisp.uss_20_rep_gar,vap_asian.uss_20_dem_hic,vap_asian.uss_20_rep_gar,vap_aian.uss_20_dem_hic,vap_aian.uss_20_rep_gar,vap_oth_b.uss_20_dem_hic,vap_oth_b.uss_20_rep_gar
Adams County,08001001001,0.5173363731337731,0.4826636268662269,0.7552521313652736,0.24474786863472636,0.9436165598433183,0.05638344015668175,0.8080918139111072,0.1919081860888928,0.43047312321250925,0.5695268767874907,0.6614001206009382,0.3385998793990617,0.4716079224651086,0.5283920775348915,0.6572019784467333,0.3427980215532667,0.9646456616778822,0.03535433832211773,0.7871234680753696,0.2128765319246304,0.37725626923705957,0.6227437307629404,0.6408524961934841,0.3591475038065159,0.6258828728588349,0.37411712714116513,0.7679245847839159,0.23207541521608407,0.9551626141972203,0.04483738580277976,0.822911957579027,0.177088042420973,0.3143496792838007,0.6856503207161994,0.670027516798321,0.329972483201679,0.5842756927584263,0.4157243072415737,0.7399472963544643,0.2600527036455357,0.9495085558292211,0.05049144417077884,0.8087316055102577,0.19126839448974228,0.2914424563832993,0.7085575436167008,0.6622624885531893,0.33773751144681075,0.6054853500036739,0.39451464999632613,0.774773918077708,0.22522608192229202,0.967352719350114,0.03264728064988595,0.7785299074680755,0.2214700925319245,0.3018346672296566,0.6981653327703434,0.640008652286245,0.359991347713755,0.5938969312890796,0.40610306871092033,0.8520668027144738,0.14793319728552629,0.9309764678336767,0.0690235321663233,0.8392266457458898,0.1607733542541102,0.5004539255338697,0.4995460744661303,0.553151523487752,0.446848476512248,0.5713912820769046,0.42860871792309535,0.8788895734164659,0.12111042658353405,0.9448247734479662,0.055175226552033725,0.9024353691018812,0.09756463089811881,0.5128946823001217,0.48710531769987836,0.5590691295833571,0.440930870416643
Adams County,08001001002,0.40340948579918995,0.5965905142008101,0.7402379311655516,0.2597620688344484,0.9373874213173514,0.0626125786826486,0.8032833428217335,0.1967166571782665,0.42474332055268466,0.5752566794473153,0.6382348504166271,0.3617651495833729,0.3654248530220962,0.6345751469779038,0.6398840861524699,0.3601159138475301,0.9592990578606977,0.04070094213930232,0.7840527924098346,0.2159472075901654,0.36943036587247785,0.6305696341275221,0.6214512379015943,0.37854876209840566,0.46674585807058716,0.5332541419294128,0.7604595153997957,0.23954048460020425,0.9455715815963168,0.05442841840368314,0.8243022487121949,0.17569775128780507,0.3038181433059634,0.6961818566940365,0.6425444443091322,0.3574555556908678,0.4469422795385662,0.5530577204614339,0.7302620522612485,0.26973794773875154,0.9421881926874831,0.057811807312516846,0.8078877054340371,0.19211229456596293,0.28776706654835044,0.7122329334516496,0.6457314977703783,0.3542685022296217,0.4515657927834452,0.5484342072165548,0.7679542817998637,0.23204571820013628,0.9607902230589379,0.03920977694106213,0.7817706760997367,0.21822932390026323,0.29794143168396203,0.702058568316038,0.6207494732328968,0.3792505267671033,0.5081749772557326,0.49182502274426737,0.8447464975247948,0.1552535024752052,0.9255228454927182,0.07447715450728175,0.8390715428705305,0.16092845712946952,0.4938110857494677,0.5061889142505324,0.5379133277968638,0.46208667220313615,0.4546613938655797,0.5453386061344203,0.8729352623461325,0.12706473765386753,0.9375229752994999,0.06247702470050012,0.8979551221904286,0.1020448778095714,0.5004911983390884,0.4995088016609116,0.540176977207654,0.459823022792346
Adams County,08001001003,0.6397934678556878,0.3602065321443122,0.7504555208849378,0.24954447911506214,0.909955736086396,0.09004426391360379,0.8265731262212694,0.1734268737787306,0.4188457998837766,0.5811542001162233,0.6572156753438291,0.34278432465617087,0.6134435988969813,0.38655640110301864,0.6572232986099102,0.34277670139008976,0.9405208875704824,0.05947911242951768,0.8111912264103712,0.1888087735896288,0.3660280567568146,0.6339719432431854,0.6520471373969976,0.3479528626030024,0.5583670166058722,0.44163298339412776,0.7719576423511396,0.22804235764886038,0.9022110203378471,0.09778897966215291,0.8328952768197855,0.1671047231802145,0.29998224917190663,0.7000177508280934,0.6442383528485296,0.3557616471514704,0.5482735058582427,0.4517264941417573,0.7358330087930929,0.26416699120690706,0.899569017804676,0.10043098219532401,0.8328662300341266,0.1671337699658734,0.27989136097960043,0.7201086390203996,0.6431650907916956,0.3568349092083044,0.5818733350619646,0.41812666493803546,0.771377750003717,0.22862224999628303,0.9324460709021947,0.06755392909780535,0.8065017787312149,0.19349822126878513,0.2939376329302384,0.7060623670697616,0.6242061474174206,0.37579385258257936,0.7097463701233733,0.29025362987662673,0.8463037636078674,0.15369623639213256,0.9022029192292689,0.09779708077073088,0.8650456711092365,0.13495432889076353,0.48595790962909896,0.5140420903709011,0.5647575996826328,0.43524240031736716,0.6566209548746831,0.34337904512531686,0.8819895573614912,0.1180104426385088,0.9165880439280596,0.08341195607194042,0.9209969698563288,0.07900303014367119,0.507452878240701,0.492547121759299,0.5559058290428295,0.4440941709571705
Adams County,08001001004,0.2518546617045392,0.7481453382954608,0.7252414604581631,0.27475853954183693,0.8486002748222103,0.15139972517778968,0.7878707640972222,0.2121292359027778,0.416486635857598,0.583513364142402,0.601203240404815,0.398796759595185,0.2646428528388768,0.7353571471611232,0.6410916102927007,0.3589083897072993,0.9258371896443561,0.07416281035564382,0.7655078081551926,0.23449219184480738,0.3672581740754451,0.632741825924555,0.5991446104173118,0.4008553895826882,0.31364882279777545,0.6863511772022246,0.7624863458011439,0.237513654198856,0.9092927702876932,0.09070722971230681,0.7999035398507623,0.20009646014923768,0.3008867019631672,0.6991132980368328,0.6222662148890082,0.3777337851109917,0.2930317971261782,0.7069682028738218,0.7290637340782105,0.2709362659217895,0.9013505577237088,0.09864944227629126,0.8021723441661421,0.19782765583385792,0.2846221950816411,0.7153778049183589,0.6115741547627614,0.3884258452372385,0.3194835634528237,0.6805164365471763,0.7657899072553389,0.23421009274466115,0.9332222814416977,0.06677771855830225,0.7681535293285318,0.23184647067146824,0.28836469804148485,0.7116353019585151,0.5976250690709134,0.4023749309290866,0.35635514721686373,0.6436448527831362,0.8387530074301476,0.16124699256985248,0.8836745649890929,0.11632543501090711,0.8373683028004589,0.16263169719954104,0.49025369074020897,0.509746309259791,0.5153270148905469,0.4846729851094531,0.28713081061196244,0.7128691893880376,0.8619964998880912,0.1380035001119088,0.8964474736334143,0.10355252636658573,0.899868717372272,0.10013128262772798,0.4921956597628418,0.5078043402371581,0.5091210962032465,0.4908789037967534
Adams County,08001001005,0.34213134086653785,0.6578686591334622,0.7415914013403979,0.2584085986596021,0.9349243209680039,0.06507567903199613,0.802132708041267,0.19786729195873295,0.4204587573790168,0.5795412426209833,0.6339206638980951,0.36607933610190463,0.3485650762212054,0.6514349237787945,0.6470141364561751,0.35298586354382483,0.9599328490922677,0.04006715090773232,0.7868559885169087,0.21314401148309106,0.36593948507910257,0.6340605149208974,0.6195738200784452,0.38042617992155475,0.4099455011404575,0.5900544988595424,0.763012549066382,0.23698745093361798,0.9400871586504206,0.05991284134957944,0.8245758137782212,0.1754241862217786,0.3024831795182251,0.6975168204817749,0.6360005123436547,0.363999487656345,0.4108715335221535,0.5891284664778464,0.7282765077112171,0.27172349228878284,0.9402958905816142,0.05970410941838579,0.8182973043757449,0.1817026956242549,0.27651328837755285,0.7234867116224472,0.6328630860779771,0.36713691392202263,0.4124468795584337,0.5875531204415663,0.770170995941572,0.22982900405842793,0.9583821026549465,0.04161789734505348,0.7891811384444528,0.21081886155554713,0.2926318286603184,0.7073681713396817,0.6141427859669946,0.3858572140330052,0.40901930652771135,0.5909806934722887,0.8351937084321381,0.1648062915678619,0.9148164650589338,0.08518353494106619,0.8401799719169799,0.15982002808302004,0.4869043268878013,0.5130956731121987,0.5241514296950782,0.47584857030492156,0.36504041392839137,0.6349595860716086,0.8696032537537813,0.13039674624621864,0.9344193140655542,0.06558068593444574,0.9040141316554372,0.09598586834456274,0.49871492204929035,0.5012850779507096,0.5325104937431441,0.46748950625685565
Adams County,08001001006,0.30178019055150346,0.6982198094484968,0.7455387866986674,0.2544612133013326,0.923700896302816,0.07629910369718393,0.7969967200692838,0.20300327993071618,0.42697045996843974,0.5730295400315603,0.6196419470126524,0.38035805298734754,0.295649727226355,0.7043502727736451,0.6413542151054363,0.35864578489456367,0.9542371229563708,0.045762877043629226,0.77504062610245,0.22495937389755005,0.36336423566546155,0.6366357643345385,0.6067381696710589,0.3932618303289412,0.3698069947609255,0.6301930052390747,0.767905832330648,0.23209416766935204,0.9379692133854571,0.06203078661454286,0.8129430613935946,0.1870569386064054,0.2988569519865979,0.7011430480134021,0.6404278467706067,0.3595721532293933,0.3890515364676186,0.6109484635323816,0.7340935460235506,0.2659064539764494,0.9436723241629613,0.05632767583703866,0.8038163853231761,0.19618361467682385,0.2922000483051095,0.7077999516948905,0.6345694282913159,0.36543057170868404,0.4032109675579446,0.5967890324420556,0.770884459384711,0.22911554061528908,0.9637037908205617,0.03629620917943832,0.7781073131325058,0.22189268686749425,0.30191547312156075,0.6980845268784392,0.6161673206676016,0.38383267933239834,0.38321245388425185,0.6167875461157484,0.8443859386529325,0.1556140613470675,0.9112142039063651,0.0887857960936349,0.8344170594738631,0.1655829405261369,0.49150696472375927,0.5084930352762407,0.5249037156640203,0.4750962843359798,0.3590701396637831,0.6409298603362171,0.8708701991171427,0.12912980088285733,0.9369757469601837,0.06302425303981633,0.9039560139146697,0.09604398608533032,0.49899753336423613,0.5010024666357639,0.528907924146306,0.471092075853694
Adams County,08001001007,0.25026368318801934,0.7497363168119806,0.735150161485522,0.2648498385144779,0.8695396246557789,0.13046037534422106,0.7848558224048727,0.21514417759512733,0.41866511810248214,0.5813348818975178,0.6078391046539223,0.39216089534607773,0.2554394800817004,0.7445605199182995,0.6278590883168202,0.3721409116831798,0.894452556266922,0.10554744373307803,0.7636638233416293,0.23633617665837067,0.3669571754393671,0.6330428245606329,0.6034828414920221,0.39651715850797786,0.29774655360808805,0.7022534463919119,0.766773480507818,0.23322651949218193,0.8853211109194717,0.11467888908052824,0.8110044545832746,0.1889955454167254,0.29265317104661764,0.7073468289533824,0.6239749054053686,0.37602509459463146,0.28429103967866926,0.7157089603213308,0.7342344676017214,0.26576553239827866,0.8822888919298059,0.11771110807019411,0.8069398550717407,0.19306014492825924,0.2798650386262825,0.7201349613737175,0.6222496284431543,0.3777503715568456,0.29095519771223083,0.7090448022877691,0.7622160503905444,0.23778394960945556,0.9127096766127379,0.08729032338726203,0.7681738790294107,0.23182612097058933,0.293857567732017,0.706142432267983,0.5922892472007927,0.4077107527992074,0.32384305280648856,0.6761569471935115,0.835272549919722,0.16472745008027798,0.86243302105392,0.13756697894608003,0.8286726158939558,0.17132738410604423,0.48645730076631527,0.5135426992336847,0.5079361058989277,0.4920638941010723,0.2786651675637271,0.7213348324362729,0.8670554721863327,0.13294452781366725,0.8827018474736998,0.11729815252630019,0.8951092791722345,0.10489072082776547,0.49728457291598643,0.5027154270840136,0.5250039964667017,0.47499600353329824
Adams County,08001001008,0.4465901491611102,0.5534098508388898,0.7527241263973226,0.24727587360267742,0.894980665607876,0.105019334392124,0.8375705858964512,0.16242941410354886,0.42533274929723863,0.5746672507027614,0.6390594895059196,0.3609405104940802,0.42535015381625635,0.5746498461837436,0.6580873840728434,0.34191261592715666,0.9278320143965725,0.07216798560342749,0.8141809987154535,0.1858190012845465,0.3690515527266658,0.6309484472733342,0.6272810582097353,0.3727189417902647,0.5144376410359645,0.48556235896403555,0.7696081497747209,0.23039185022527905,0.9072504290770034,0.09274957092299667,0.8542952626698028,0.1457047373301972,0.3074446235277238,0.6925553764722762,0.6495224376629415,0.35047756233705835,0.477147246754245,0.522852753245755,0.736352716309975,0.26364728369002494,0.907235991933366,0.09276400806663403,0.8454155904112016,0.15458440958879843,0.29205776846358245,0.7079422315364176,0.6378986349132549,0.36210136508674506,0.5229560560862982,0.47704394391370175,0.7642849542962973,0.23571504570370275,0.9378492735697271,0.06215072643027283,0.8317260169691818,0.16827398303081817,0.2994598038514347,0.7005401961485652,0.61999829953018,0.38000170046981974,0.5286395166786807,0.47136048332131925,0.8423856659745558,0.1576143340254442,0.8856988702705928,0.1143011297294072,0.8632854180530036,0.13671458194699634,0.4913294157816894,0.5086705842183106,0.5329940716665699,0.4670059283334299,0.47863965157422006,0.5213603484257799,0.8773944685252325,0.12260553147476752,0.9010765921369825,0.09892340786301741,0.9161971239370699,0.0838028760629301,0.5035434976608599,0.49645650233914,0.546109053103982,0.453890946896018
Adams County,08001001009,0.5073306881961607,0.49266931180383927,0.7373083267289194,0.26269167327108056,0.8921454557153774,0.10785454428462256,0.8043934714510194,0.19560652854898064,0.42098686632330895,0.5790131336766913,0.63933546948789155,0.3606645305121085,0.49537142176507726,0.5046285782349228,0.6463050941595848,0.35369490584041513,0.9352170742257206,0.06478292577427941,0.7874300637720549,0.21256993622794512,0.3732187138206275,0.6267812861793728,0.6378980037716957,0.36210199622830425,0.5657770850763699,0.4342229149236301,0.7598279657083108,0.2401720342916892,0.9067640422728428,0.09323595772715723,0.8225310265378061,0.1774689734621939,0.2940492909033362,0.705950709096664,0.642907827242341,0.35709217275765903,0.5545364504134882,0.44546354958651185,0.7293605562956923,0.27063944370430776,0.9016418946880027,0.09835810531199729,0.809460262714309,0.19053973728569093,0.28558174992276464,0.7144182500772356,0.641477839333806,0.3585221606661941,0.5831246883387897,0.4168753116612102,0.7612621832653791,0.23873781673462086,0.9410742029170841,0.05892579708291587,0.7829317358903953,0.21706826410960467,0.2974258153384255,0.7025741846615747,0.6242149872437366,0.37578501275626347,0.5732552514832504,0.4267447485167496,0.8404439144023027,0.15955608559769727,0.8874737119314203,0.11252628806857966,0.8367580019646615,0.16324199803533843,0.48341862212557535,0.5165813778744248,0.5366215471057716,0.4633784528942284,0.5321372793577636,0.46786272064223644,0.8644611473852761,0.13553885261472387,0.9088366214061894,0.09116337859381063,0.9075947465441966,0.09240525345580342,0.49434932034542234,0.5056506796545779,0.5422672728574744,0.45773272714252555
Adams County,08001001010,0.3961217665908402,0.6038782334091598,0.7494872753696618,0.25051272463033825,0.9111902738478898,0.0888097261521103,0.8166141075980482,0.1833858924019518,0.4245565412577916,0.5754434587422085,0.6335998030290443,0.3664001969709557,0.3646981344577352,0.6353018655422649,0.652615415259297,0.347384584740703,0.9396601611744435,0.060339838825556505,0.8013158784782052,0.1986841215217948,0.3703788552892301,0.6296211447107699,0.6217961947781017,0.3782038052218983,0.446317301294218,0.553682698705782,0.7660234289965875,0.23397657100341254,0.9126859458412642,0.0873140541587358,0.8309814967987489,0.1690185032012511,0.2917563002231263,0.7082436997768736,0.6387520201735363,0.36124797982646373,0.42299885950652516,0.5770011404934748,0.742085716866816,0.25791428313318404,0.9105695705171477,0.08943042948285225,0.824398457212774,0.17560154278722592,0.28144221296266003,0.71855778703734,0.6419282995414443,0.3580717004585557,0.42096906900675307,0.579030930993247,0.76905975638261,0.23094024361738996,0.9383224248058083,0.06167757519419165,0.7871285677019839,0.21287143229801608,0.28717507111332286,0.7128249288866771,0.6162986515051266,0.3837013484948734,0.47315366354846644,0.5268463364515336,0.8516542302985598,0.14834576970144014,0.8988121291820278,0.10118787081797218,0.8567986002978277,0.14320139970217222,0.4918517103702619,0.5081482896297381,0.5388374667739955,0.46116253322600453,0.4464106111270248,0.5535893888729752,0.8766427004249393,0.12335729957506071,0.9114763114846945,0.0885236885153054,0.9172232101233974,0.08277678987660261,0.5061573915147539,0.49384260848524614,0.5378735683989516,0.4621264316010484
