county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_18_rep_fis,vap_white.uss_18_dem_ray,vap_black.uss_18_rep_fis,vap_black.uss_18_dem_ray,vap_hisp.uss_18_rep_fis,vap_hisp.uss_18_dem_ray,vap_asian.uss_18_rep_fis,vap_asian.uss_18_dem_ray,vap_aian.uss_18_rep_fis,vap_aian.uss_18_dem_ray,vap_oth_b.uss_18_rep_fis,vap_oth_b.uss_18_dem_ray,vap_white.gov_18_rep_ric,vap_white.gov_18_dem_kri,vap_black.gov_18_rep_ric,vap_black.gov_18_dem_kri,vap_hisp.gov_18_rep_ric,vap_hisp.gov_18_dem_kri,vap_asian.gov_18_rep_ric,vap_asian.gov_18_dem_kri,vap_aian.gov_18_rep_ric,vap_aian.gov_18_dem_kri,vap_oth_b.gov_18_rep_ric,vap_oth_b.gov_18_dem_kri,vap_white.sos_18_rep_evn,vap_white.sos_18_dem_dan,vap_black.sos_18_rep_evn,vap_black.sos_18_dem_dan,vap_hisp.sos_18_rep_evn,vap_hisp.sos_18_dem_dan,vap_asian.sos_18_rep_evn,vap_asian.sos_18_dem_dan,vap_aian.sos_18_rep_evn,vap_aian.sos_18_dem_dan,vap_oth_b.sos_18_rep_evn,vap_oth_b.sos_18_dem_dan,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_sas,vap_white.uss_20_dem_jan,vap_black.uss_20_rep_sas,vap_black.uss_20_dem_jan,vap_hisp.uss_20_rep_sas,vap_hisp.uss_20_dem_jan,vap_asian.uss_20_rep_sas,vap_asian.uss_20_dem_jan,vap_aian.uss_20_rep_sas,vap_aian.uss_20_dem_jan,vap_oth_b.uss_20_rep_sas,vap_oth_b.uss_20_dem_jan
Adams County,3100100001P,0.9135548882969103,0.08644511170308963,0.4806814260315726,0.5193185739684274,0.3962838383200384,0.6037161616799616,0.4891399162197605,0.5108600837802395,0.5129722811164981,0.487027718883502,0.48223413735554255,0.5177658626444575,0.822526046715872,0.17747395328412796,0.4937922989395107,0.5062077010604893,0.40731883147692133,0.5926811685230786,0.47979663356733565,0.5202033664326644,0.5207522729838684,0.4792477270161316,0.48811665945672034,0.5118833405432797,0.8558807686266904,0.1441192313733096,0.4971149498497814,0.5028850501502187,0.4225593958056708,0.5774406041943292,0.4640602363783376,0.5359397636216624,0.4957200645388964,0.5042799354611036,0.47885571918951536,0.5211442808104846,0.8505125613431215,0.14948743865687852,0.472849408405546,0.527150591594454,0.45369887959903854,0.5463011204009615,0.4854907182415456,0.5145092817584543,0.47943629668086823,0.5205637033191317,0.5109549056976312,0.48904509430236875,0.8826851819781604,0.1173148180218396,0.4889072226603864,0.5110927773396136,0.41648249044409813,0.5835175095559019,0.47411756083929024,0.5258824391607098,0.5254113984389962,0.47458860156100385,0.4585688921273193,0.5414311078726807,0.9210138840346601,0.07898611596533985,0.49266151676268777,0.5073384832373122,0.3844531071115706,0.6155468928884293,0.36026088485122804,0.6397391151487719,0.5040721606711226,0.4959278393288774,0.44267142563312795,0.5573285743668721
Adams County,3100100001W,0.8528708614345034,0.1471291385654966,0.4821444671224549,0.5178555328775452,0.3765735257994968,0.6234264742005032,0.488154133037784,0.511845866962216,0.5107262352563448,0.4892737647436552,0.4684746162628141,0.5315253837371859,0.7464650664946466,0.2535349335053534,0.492985081284608,0.507014918715392,0.40392082515952826,0.5960791748404718,0.48067029265712896,0.519329707342871,0.5241709970821715,0.4758290029178285,0.4875651459673747,0.5124348540326253,0.7875629530049861,0.21243704699501384,0.4996773036858699,0.5003226963141302,0.41557017596661533,0.5844298240333846,0.4629824374421778,0.5370175625578222,0.48974845226483527,0.5102515477351647,0.47548839805152915,0.5245116019484708,0.7727682114274153,0.22723178857258472,0.47309425817767686,0.5269057418223232,0.45244359343824864,0.5475564065617514,0.48038421253201463,0.5196157874679853,0.4734166787391547,0.5265833212608453,0.512162537588378,0.48783746241162196,0.7905489287462919,0.20945107125370807,0.4892958955030237,0.5107041044969762,0.41175657046227254,0.5882434295377275,0.47500444486992216,0.5249955551300779,0.5186837172841974,0.4813162827158026,0.45268270742800887,0.5473172925719911,0.8793593092389304,0.12064069076106969,0.48352436006205235,0.5164756399379477,0.3445720936625928,0.6554279063374072,0.35969361710154596,0.640306382898454,0.501324951317366,0.49867504868263407,0.44184237681500577,0.5581576231849942
Adams County,3100100002E,0.7829878080447253,0.2170121919552746,0.47576886959108694,0.5242311304089131,0.38595533184041464,0.6140446681595854,0.47928633886243127,0.5207136611375688,0.5220194689309777,0.4779805310690223,0.4740162589669071,0.525983741033093,0.6938390867948578,0.30616091320514216,0.4969266687616555,0.5030733312383445,0.3950442333695086,0.6049557666304914,0.47361406331632694,0.5263859366836731,0.5182164541630008,0.4817835458369992,0.48618387206149566,0.5138161279385043,0.7259710639355872,0.27402893606441275,0.49937310412532093,0.5006268958746791,0.403562122245232,0.596437877754768,0.4652117694622288,0.5347882305377711,0.49314486648246914,0.5068551335175309,0.47772756915312653,0.5222724308468735,0.7149800680682642,0.2850199319317358,0.47580810642196986,0.5241918935780301,0.43880429884693845,0.5611957011530615,0.4757698954245493,0.5242301045754507,0.4745824803121455,0.5254175196878546,0.5022219244780813,0.49777807552191866,0.7718577231164356,0.22814227688356437,0.49319683098241823,0.5068031690175817,0.3989863906786131,0.6010136093213869,0.47155377340186366,0.5284462265981363,0.5203667865052031,0.47963321349479693,0.4577236528128008,0.5422763471871992,0.8578417817608254,0.1421582182391746,0.48310031367422285,0.5168996863257771,0.36283125896693524,0.6371687410330648,0.35921749480014903,0.6407825051998509,0.4995824432349116,0.5004175567650884,0.4434554484824695,0.5565445515175306
Adams County,3100100002P,0.9042907665642254,0.09570923343577462,0.48060087332433776,0.5193991266756622,0.41303803090365215,0.5869619690963479,0.4833383455977673,0.5166616544022328,0.5153715757672325,0.48462842423276753,0.47900871625825747,0.5209912837417425,0.8449496626506234,0.1550503373493766,0.4952712140343829,0.5047287859656171,0.41434062164035773,0.5856593783596422,0.47951930579776647,0.5204806942022335,0.5182316017636589,0.4817683982363411,0.49499499634665717,0.5050050036533428,0.9109108942996977,0.08908910570030225,0.5000281057356072,0.49997189426439276,0.45389185538679006,0.5461081446132099,0.46594642044018264,0.5340535795598174,0.4941576582941934,0.5058423417058067,0.49327178665773347,0.5067282133422666,0.8897090707711864,0.11029092922881352,0.47748100715777086,0.5225189928422291,0.4718425825948468,0.5281574174051532,0.47461823922856067,0.5253817607714394,0.47531588879110304,0.5246841112088969,0.5213598282940187,0.47864017170598133,0.8833449325627029,0.11665506743729709,0.49012572201202464,0.5098742779879754,0.4250311668869842,0.5749688331130157,0.47522677710512135,0.5247732228948787,0.5197139393930766,0.48028606060692336,0.46267093594919484,0.5373290640508052,0.9453621914737466,0.05463780852625343,0.4834692663566206,0.5165307336433794,0.40660728473506963,0.5933927152649303,0.36304826124147993,0.6369517387585201,0.50767856356859,0.49232143643140996,0.4598155733701607,0.5401844266298393
Adams County,3100100002W,0.8170724620224928,0.18292753797750716,0.4795518709452829,0.5204481290547172,0.3729525239673819,0.6270474760326181,0.48305192686616405,0.5169480731338357,0.5141258605840829,0.4858741394159171,0.47191584889812976,0.5280841511018702,0.6700172118653749,0.3299827881346251,0.48889888598011993,0.5111011140198801,0.3777215468203897,0.6222784531796103,0.47947287644591097,0.5205271235540888,0.5212915177487816,0.47870848225121837,0.4816878857893707,0.5183121142106293,0.7220715094331374,0.2779284905668626,0.49579932601052445,0.5042006739894755,0.4005484868628072,0.5994515131371928,0.4665427934993738,0.533457206500626,0.49747146807215903,0.502528531927841,0.47348213262172895,0.5265178673782709,0.7568249187503209,0.24317508124967913,0.47341528363701746,0.5265847163629825,0.4371804940237628,0.5628195059762372,0.47801678076421905,0.521983219235781,0.4784371634502469,0.5215628365497531,0.5018954908221769,0.4981045091778231,0.7617813951320865,0.23821860486791346,0.4868619053708717,0.5131380946291283,0.3928581849464362,0.6071418150535638,0.473073831113991,0.5269261688860091,0.5173932045187429,0.4826067954812571,0.46116020900521953,0.5388397909947803,0.861104528498176,0.13889547150182405,0.49193097956962095,0.508069020430379,0.35443117917670314,0.6455688208232968,0.3190300832883164,0.6809699167116837,0.4977573746740848,0.5022426253259151,0.4404077812517311,0.5595922187482687
Adams County,3100100003P,0.8716494555708643,0.12835054442913593,0.4809490840225724,0.5190509159774276,0.3979910086458716,0.6020089913541284,0.49073092188583756,0.5092690781141624,0.5216704163188034,0.4783295836811966,0.47147647637334994,0.52852352362665,0.7800921824291027,0.2199078175708975,0.4978048930507093,0.5021951069492907,0.40685364604080737,0.5931463539591926,0.4824906653435228,0.5175093346564772,0.5220199599577914,0.4779800400422086,0.49462566564039495,0.505374334359605,0.8620611257895964,0.1379388742104038,0.4948540894381189,0.5051459105618811,0.4211324510021675,0.5788675489978324,0.46405717067141977,0.5359428293285802,0.4952892528311938,0.5047107471688063,0.4786678349668815,0.5213321650331185,0.8611707228728332,0.13882927712716703,0.4735446090188384,0.5264553909811616,0.4566064333931518,0.5433935666068481,0.48281357681656545,0.5171864231834346,0.4741724777825567,0.5258275222174432,0.5155605410364786,0.4844394589635214,0.8375184185862116,0.16248158141378863,0.4875511646134765,0.5124488353865235,0.40698237229832346,0.5930176277016765,0.4738544986606814,0.5261455013393186,0.524014190359575,0.47598580964042503,0.46378932799838446,0.5362106720016155,0.9112201011082995,0.0887798988917007,0.49084065929263865,0.5091593407073614,0.38370958208833994,0.6162904179116601,0.36323550457967885,0.6367644954203212,0.5042335549165248,0.4957664450834753,0.446260729413959,0.553739270586041
Adams County,3100100003W,0.7253690240525396,0.2746309759474605,0.4700226077573508,0.5299773922426492,0.34489268221057545,0.6551073177894245,0.4821398864738273,0.5178601135261727,0.5170510915623193,0.4829489084376806,0.4673225793303694,0.5326774206696305,0.6583011665244184,0.34169883347558155,0.4971177675097463,0.5028822324902538,0.35869499280656453,0.6413050071934354,0.4776390418703147,0.5223609581296853,0.5197983965906682,0.48020160340933177,0.49112120820016625,0.5088787917998338,0.7212335348475639,0.2787664651524361,0.4978649955437289,0.502135004456271,0.3940240963613696,0.6059759036386304,0.46113396326005346,0.5388660367399466,0.49196801278193647,0.5080319872180635,0.473362963591007,0.526637036408993,0.7016022225135448,0.29839777748645524,0.4739074630700715,0.5260925369299285,0.41809671478870664,0.5819032852112934,0.4793331641433667,0.5206668358566333,0.47246245525687836,0.5275375447431216,0.49984782881617734,0.5001521711838227,0.6533559439487242,0.3466440560512758,0.48197921022155277,0.5180207897784472,0.3436627753603419,0.656337224639658,0.47057064137829674,0.5294293586217033,0.5213776245482713,0.4786223754517287,0.4531025569074294,0.5468974430925706,0.8376876110192856,0.16231238898071448,0.48942441252226776,0.5105755874777322,0.3264428459737795,0.6735571540262205,0.35938466794535845,0.6406153320546416,0.5052783406822576,0.4947216593177423,0.4438838194204898,0.5561161805795102
Adams County,3100100004P,0.8856340957330386,0.11436590426696136,0.48136795710425073,0.5186320428957493,0.3980730029756694,0.6019269970243306,0.4903808404555227,0.5096191595444772,0.5141216845171921,0.4858783154828079,0.47944768994371195,0.5205523100562879,0.8293511057013639,0.17064889429863606,0.49648877331564273,0.5035112266843572,0.3998537063279441,0.6001462936720559,0.48236544110397434,0.5176345588960256,0.52324784567266025,0.4767521543273397,0.4908028378868885,0.5091971621131115,0.8487668622278282,0.15123313777217184,0.49551437893197237,0.5044856210680276,0.4297198880690432,0.5702801119309567,0.46280955216169,0.53719044783831,0.4937910239602441,0.5062089760397559,0.47874821592721767,0.5212517840727824,0.8695239618551402,0.13047603814485975,0.47266671362941765,0.5273332863705823,0.4571805895733252,0.5428194104266748,0.469665903529608,0.530334096470392,0.47792010750879466,0.5220798924912053,0.5137813872144894,0.4862186127855106,0.8520464033025513,0.1479535966974487,0.49063219664963253,0.5093678033503675,0.406895677670263,0.593104322329737,0.4728485912896357,0.5271514087103644,0.5164981428123919,0.4835018571876081,0.46287101955742654,0.5371289804425733,0.9068609447900902,0.09313905520990987,0.4933544259437884,0.5066455740562116,0.3854770864574962,0.6145229135425038,0.36414236727638466,0.6358576327236153,0.5090283124400664,0.49097168755993353,0.44896894755807937,0.5510310524419204
Adams County,3100100005P,0.8421383013077852,0.1578616986922148,0.4831799730885058,0.5168200269114942,0.38992081636373127,0.6100791836362687,0.4878632349029787,0.5121367650970213,0.5159634018494406,0.48403659815055966,0.47094777073151034,0.5290522292684897,0.7760034922421618,0.22399650775783822,0.49806180687171864,0.5019381931282814,0.4062086851532867,0.5937913148467133,0.48272632084309686,0.5172736791569031,0.517841982539375,0.48215801746062525,0.4822886419668586,0.5177113580331414,0.8115193100329348,0.18848068996706518,0.49372194083520315,0.5062780591647968,0.42513789619770004,0.5748621038023,0.4697118826367715,0.5302881173632286,0.4918114236807916,0.5081885763192087,0.4815153023932084,0.5184846976067916,0.8082475936280207,0.19175240637197927,0.4757234505169096,0.5242765494830903,0.45432333698736643,0.5456766630126336,0.47934030499677377,0.5206596950032263,0.4792164375736067,0.5207835624263936,0.5113848752758492,0.48861512472415086,0.7940171461857423,0.20598285381425777,0.49587921011807756,0.5041207898819224,0.41091968833611825,0.5890803116638818,0.4751184241965576,0.5248815758034424,0.5172130552464064,0.4827869447535939,0.4623990937092109,0.537600906290789,0.8868272697513264,0.1131727302486736,0.48866758605136007,0.5113324139486399,0.37994465022148266,0.6200553497785174,0.3673870277419288,0.6326129722580712,0.5071256163469133,0.49287438365308683,0.45509606326855495,0.5449039367314451
Adams County,3100100005W,0.8806658952324035,0.11933410476759655,0.4900160803925266,0.5099839196074735,0.5465929160097486,0.4534070839902515,0.49059517363753674,0.5094048263624632,0.5308137936964333,0.46918620630356667,0.4968882527744542,0.5031117472255457,0.8112691917024896,0.18873080829751043,0.4939094784684036,0.5060905215315964,0.47350310536241674,0.5264968946375833,0.4907799889485478,0.5092200110514522,0.525961619040682,0.47403838095931805,0.4977935142581854,0.5022064857418146,0.8390562011782856,0.16094379882171433,0.4982369448273752,0.5017630551726249,0.516273874757313,0.483726125242687,0.46716994019016617,0.5328300598098339,0.5006862042176058,0.4993137957823942,0.4921511117319784,0.5078488882680215,0.8251253703929845,0.17487462960701544,0.4807769917549742,0.5192230082450259,0.529662104847875,0.470337895152125,0.4871194922378292,0.5128805077621708,0.4896090219143721,0.5103909780856278,0.5277305121678899,0.47226948783211015,0.8579192553733329,0.14208074462666714,0.49119864406484814,0.5088013559351519,0.5259877181834861,0.4740122818165139,0.4804625455527366,0.5195374544472634,0.5286241180186446,0.4713758819813554,0.47639743468953893,0.5236025653104611,0.9265448480406406,0.07345515195935935,0.49570874205519083,0.5042912579448092,0.6323739340919092,0.36762606590809077,0.3667012325461326,0.6332987674538674,0.5205233240593854,0.47947667594061455,0.4720138116835179,0.5279861883164821
