county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_gra,vap_white.uss_16_dem_jud,vap_black.uss_16_rep_gra,vap_black.uss_16_dem_jud,vap_hisp.uss_16_rep_gra,vap_hisp.uss_16_dem_jud,vap_oth.uss_16_rep_gra,vap_oth.uss_16_dem_jud,vap_white.gov_18_rep_rey,vap_white.gov_18_dem_hub,vap_black.gov_18_rep_rey,vap_black.gov_18_dem_hub,vap_hisp.gov_18_rep_rey,vap_hisp.gov_18_dem_hub,vap_oth.gov_18_rep_rey,vap_oth.gov_18_dem_hub,vap_white.sos_18_rep_pat,vap_white.sos_18_dem_dej,vap_black.sos_18_rep_pat,vap_black.sos_18_dem_dej,vap_hisp.sos_18_rep_pat,vap_hisp.sos_18_dem_dej,vap_oth.sos_18_rep_pat,vap_oth.sos_18_dem_dej,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_ern,vap_white.uss_20_dem_gre,vap_black.uss_20_rep_ern,vap_black.uss_20_dem_gre,vap_hisp.uss_20_rep_ern,vap_hisp.uss_20_dem_gre,vap_oth.uss_20_rep_ern,vap_oth.uss_20_dem_gre
Adair County,19001001001,0.7730915843126883,0.22690841568731163,0.47519912141801307,0.524800878581987,0.4930647633659418,0.5069352366340583,0.5179283092621919,0.48207169073780815,0.8111250382649015,0.18887496173509852,0.49804241705855573,0.5019575829414442,0.4857057917151252,0.5142942082848748,0.5146022381342331,0.48539776186576683,0.7556945314481405,0.24430546855185947,0.5025982227920579,0.4974017772079421,0.4917793315724597,0.5082206684275403,0.5320569289819257,0.46794307101807425,0.7876788227240219,0.21232117727597813,0.49520570836306516,0.5047942916369349,0.504723201135611,0.495276798864389,0.5053737720254616,0.4946262279745383,0.7604194844371882,0.23958051556281176,0.4966522499731489,0.5033477500268512,0.48449592523059176,0.5155040747694082,0.4910933764703763,0.5089066235296237,0.7574693285727728,0.24253067142722715,0.5026364349279591,0.4973635650720409,0.48568921623570194,0.5143107837642981,0.5058570620237075,0.4941429379762925
Adair County,19001001002,0.758593914147913,0.241406085852087,0.47458702433983657,0.5254129756601634,0.4890079897832616,0.5109920102167383,0.5222224091284353,0.4777775908715647,0.7963708154461401,0.20362918455385995,0.4909117854696478,0.5090882145303521,0.48042089457875126,0.5195791054212487,0.5124194304623398,0.48758056953766016,0.7428123384250165,0.2571876615749836,0.49401637722094666,0.5059836227790534,0.49186154257033793,0.508138457429662,0.5316782416895559,0.46832175831044404,0.7745046962937843,0.2254953037062158,0.49642105395314345,0.5035789460468566,0.4972458683801342,0.5027541316198658,0.4965181371561479,0.5034818628438521,0.7479419268307848,0.2520580731692153,0.4939851734395427,0.5060148265604574,0.4913423006719333,0.5086576993280667,0.49174855221809516,0.5082514477819049,0.7448033779760959,0.25519662202390414,0.5054334967994193,0.4945665032005807,0.4828638936668887,0.5171361063331114,0.5025572872110494,0.49744271278895064
Adair County,19001001003,0.7664888982093231,0.23351110179067697,0.4758063857785816,0.5241936142214184,0.4871206378500444,0.5128793621499557,0.5243089037952466,0.4756910962047533,0.807752920127788,0.19224707987221204,0.4960448999563688,0.5039551000436312,0.47882808875257493,0.521171911247425,0.5113433417102284,0.4886566582897716,0.7508290655431835,0.2491709344568165,0.500395455506362,0.49960454449363795,0.49045841955409303,0.509541580445907,0.5345143899938162,0.4654856100061838,0.7823250511173552,0.2176749488826448,0.4935411741269981,0.506458825873002,0.5030192657664174,0.49698073423358263,0.5122506828703327,0.48774931712966735,0.7568440207873188,0.24315597921268123,0.48546713192675744,0.5145328680732425,0.4912794174396679,0.5087205825603321,0.5007990023384257,0.4992009976615744,0.7532367698848882,0.24676323011511175,0.4997345720606865,0.5002654279393135,0.48600861780814786,0.5139913821918521,0.5056956835152101,0.49430431648478995
Adair County,19001001004,0.7470259344559985,0.2529740655440015,0.47877350054667417,0.5212264994533259,0.487740270954109,0.512259729045891,0.5581599333023938,0.4418400666976062,0.797119177319415,0.2028808226805851,0.5028182919282225,0.4971817080717776,0.482544943828426,0.5174550561715741,0.5567872898564261,0.44321271014357383,0.725327673741269,0.27467232625873095,0.500358971850591,0.49964102814940903,0.49180636035917036,0.5081936396408296,0.5619268938424132,0.4380731061575868,0.7611093606410383,0.2388906393589617,0.49960127231028467,0.5003987276897154,0.5019952873015562,0.4980047126984438,0.5470687812989896,0.4529312187010104,0.7606620823604178,0.2393379176395822,0.4956186219628954,0.5043813780371046,0.4844446200877828,0.5155553799122172,0.5205664577119619,0.47943354228803814,0.7512934376234045,0.2487065623765955,0.49898871639986464,0.5010112836001354,0.48183243157021227,0.5181675684297877,0.5387401847337737,0.46125981526622634
Adair County,19001001005,0.6749987652389373,0.3250012347610626,0.47998656625939934,0.5200134337406006,0.4884106362428714,0.5115893637571286,0.5143179981635657,0.48568200183643434,0.7439002491202704,0.25609975087972947,0.49497567492320094,0.5050243250767991,0.4843488645243743,0.5156511354756257,0.5120413380575279,0.48795866194247206,0.6534440892911366,0.3465559107088633,0.4975739900558115,0.5024260099441885,0.4846150643494614,0.5153849356505387,0.5240015246611324,0.4759984753388676,0.6760734967863665,0.32392650321363337,0.4973954294659307,0.5026045705340694,0.5022382623009152,0.4977617376990849,0.5015753776429254,0.49842462235707463,0.7186348284454529,0.28136517155454693,0.4933096158140743,0.5066903841859257,0.49012891483843907,0.509871085161561,0.48062233066553156,0.5193776693344685,0.7016581098381828,0.298341890161817,0.5035287809473292,0.49647121905267083,0.4757343523559564,0.5242656476440436,0.5028916132927495,0.4971083867072505
Adair County,19001001006,0.6569813700436312,0.3430186299563688,0.47492021570760923,0.5250797842923908,0.4925922773146192,0.5074077226853808,0.5127410518126753,0.48725894818732474,0.7376571991312603,0.26234280086873973,0.4997569383424161,0.5002430616575839,0.48100183838755844,0.5189981616124416,0.5062964366342486,0.49370356336575133,0.6325506815972757,0.36744931840272427,0.5010799782325203,0.49892002176747974,0.48463713631808053,0.5153628636819194,0.5213323117549303,0.4786676882450697,0.6568923008215855,0.3431076991784146,0.498225925466403,0.501774074533597,0.5064094341014497,0.4935905658985503,0.48886455869179263,0.5111354413082073,0.71844941042046,0.28155058957954,0.4984847040086695,0.5015152959913305,0.4871933952311946,0.5128066047688055,0.48928780104989655,0.5107121989501034,0.6963668527423632,0.3036331472576368,0.49875247351770435,0.5012475264822956,0.4901438681546632,0.5098561318453368,0.5003022519713212,0.49969774802867883
Adair County,19001001007,0.6557180222092114,0.3442819777907887,0.47513952443062757,0.5248604755693724,0.49162856207906497,0.5083714379209351,0.51940613944391,0.48059386055609005,0.7333644571560018,0.26663554284399815,0.49900840746526537,0.5009915925347346,0.48711710669990477,0.5128828933000952,0.5075371073198923,0.4924628926801077,0.6314375996521484,0.3685624003478516,0.4973286194478292,0.5026713805521708,0.4831294003765156,0.5168705996234844,0.5295290918173893,0.47047090818261067,0.6522567439985315,0.34774325600146855,0.49454747337287513,0.5054525266271248,0.5036995094000398,0.4963004905999602,0.4949242163171552,0.5050757836828448,0.7143258477293077,0.28567415227069226,0.49534344400725683,0.5046565559927432,0.49182937298340096,0.5081706270165991,0.485822978725781,0.514177021274219,0.6933550382913957,0.3066449617086044,0.49936778675324145,0.5006322132467586,0.4834278647039015,0.5165721352960986,0.5024613727551794,0.49753862724482056
Adair County,19001001008,0.6516077637627005,0.34839223623729954,0.47528883545925626,0.5247111645407437,0.48969673444312306,0.5103032655568769,0.5147461119579517,0.48525388804204833,0.7266552357431219,0.2733447642568781,0.490828678414986,0.5091713215850138,0.48326788473638466,0.5167321152636153,0.5098641269114047,0.49013587308859524,0.6299984856260032,0.3700015143739967,0.5010028436570785,0.49899715634292124,0.4927848343892594,0.5072151656107405,0.5272820858437252,0.4727179141562749,0.6504692139886613,0.3495307860113387,0.4993969135017428,0.500603086498257,0.504302050209944,0.49569794979005594,0.4944426726572214,0.5055573273427786,0.7064306265705473,0.2935693734294527,0.4923442361435846,0.5076557638564154,0.4898274599024912,0.5101725400975088,0.49594718595627335,0.5040528140437264,0.6875471047238383,0.31245289527616177,0.4980029207982855,0.5019970792017144,0.47698758331326596,0.523012416686734,0.5118789326825035,0.4881210673174962
Adair County,19001001009,0.658839168816504,0.34116083118349627,0.47994794492857906,0.5200520550714209,0.4877896137525593,0.5122103862474408,0.5100395070734466,0.48996049292655336,0.7377180768897444,0.26228192311025583,0.5016391321737946,0.49836086782620537,0.48357273901950637,0.5164272609804936,0.506490953549264,0.49350904645073596,0.6337427009912282,0.366257299008772,0.49910276693670635,0.5008972330632936,0.48458010063901596,0.5154198993609841,0.5217032291249251,0.47829677087507494,0.6556677550521933,0.34433224494780684,0.5016547119221314,0.4983452880778686,0.4974085507454015,0.5025914492545985,0.49910350629607075,0.5008964937039292,0.7182747817505316,0.2817252182494686,0.4952915878583998,0.5047084121416002,0.4876400774608765,0.5123599225391234,0.4864802692684216,0.5135197307315784,0.6974941328039789,0.3025058671960213,0.49719945872811283,0.5028005412718872,0.48364287300856895,0.5163571269914311,0.49363954191801673,0.5063604580819833
Adair County,19001001010,0.7651730297024577,0.23482697029754226,0.47832376825893025,0.5216762317410697,0.4949921635820125,0.5050078364179875,0.5226015331107394,0.47739846688926063,0.8047705295503269,0.1952294704496731,0.492037101618276,0.5079628983817239,0.4864616185616016,0.5135383814383985,0.5167675158526952,0.48323248414730485,0.7508898353107976,0.24911016468920244,0.49649263161837554,0.5035073683816245,0.49172751680049787,0.5082724831995021,0.5286060526757048,0.4713939473242952,0.7812942981806297,0.21870570181937038,0.4979214902780232,0.5020785097219769,0.5099590699813253,0.4900409300186747,0.5018381425461874,0.4981618574538126,0.7549953679758461,0.24500463202415393,0.4946464568517986,0.5053535431482014,0.482071584956446,0.517928415043554,0.4949326226050421,0.5050673773949579,0.7524321708788877,0.24756782912111228,0.5015312451297573,0.4984687548702427,0.484652562665206,0.5153474373347939,0.5065420209068257,0.49345797909317435
