county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_pau,vap_white.uss_16_dem_gra,vap_black.uss_16_rep_pau,vap_black.uss_16_dem_gra,vap_hisp.uss_16_rep_pau,vap_hisp.uss_16_dem_gra,vap_asian.uss_16_rep_pau,vap_asian.uss_16_dem_gra,vap_aian.uss_16_rep_pau,vap_aian.uss_16_dem_gra,vap_oth_b.uss_16_rep_pau,vap_oth_b.uss_16_dem_gra,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_mcc,vap_white.uss_20_dem_mcg,vap_black.uss_20_rep_mcc,vap_black.uss_20_dem_mcg,vap_hisp.uss_20_rep_mcc,vap_hisp.uss_20_dem_mcg,vap_asian.uss_20_rep_mcc,vap_asian.uss_20_dem_mcg,vap_aian.uss_20_rep_mcc,vap_aian.uss_20_dem_mcg,vap_oth_b.uss_20_rep_mcc,vap_oth_b.uss_20_dem_mcg
Adair County,2100100A102,0.9744260121731968,0.025573987826803212,0.4535640194224187,0.5464359805775814,0.48238559216290433,0.5176144078370957,0.5031393929049446,0.4968606070950554,0.5065216959284538,0.49347830407154625,0.4472391275334326,0.5527608724665675,0.8318279545587318,0.16817204544126818,0.4783177532954337,0.5216822467045663,0.4833560195763821,0.5166439804236179,0.4995440063962899,0.5004559936037101,0.4946647892417578,0.5053352107582422,0.48694457295563487,0.5130554270443651,0.8650081493503718,0.1349918506496281,0.4564094612013866,0.5435905387986134,0.4507821295515435,0.5492178704484565,0.4886795987267881,0.5113204012732119,0.5066579606427587,0.4933420393572413,0.45129278620904906,0.548707213790951,0.8205202221157885,0.17947977788421154,0.46076780886169655,0.5392321911383035,0.4709308492667092,0.5290691507332909,0.4983615037647213,0.5016384962352787,0.5101148007646259,0.48988519923537416,0.48045933134423435,0.5195406686557656
Adair County,2100100A104,0.9510863404721375,0.04891365952786257,0.4513061779915242,0.5486938220084758,0.4543391687244309,0.5456608312755691,0.5034278085903244,0.49657219140967557,0.5074779871043342,0.4925220128956658,0.4365798732463211,0.5634201267536789,0.8020471539589975,0.19795284604100255,0.47628897904666323,0.5237110209533368,0.4846931333002962,0.5153068666997038,0.5061424356027783,0.4938575643972218,0.49522195709398875,0.5047780429060112,0.4866536901980505,0.5133463098019495,0.8650452277650653,0.13495477223493468,0.4567366743396394,0.5432633256603606,0.4540563068185263,0.5459436931814736,0.4910652871339485,0.5089347128660515,0.5047874928390134,0.49521250716098664,0.446878189092542,0.5531218109074579,0.8279031439076261,0.1720968560923739,0.464405674859114,0.535594325140886,0.4784446419688836,0.5215553580311164,0.5023528711743277,0.4976471288256723,0.5115308181123259,0.488469181887674,0.4790073493382922,0.5209926506617077
Adair County,2100100A105,0.9115288971873727,0.08847110281262732,0.4560015948138644,0.5439984051861356,0.4560191662049855,0.5439808337950143,0.5084511344472691,0.4915488655527309,0.5061698207067648,0.49383017929323525,0.4412042576048854,0.5587957423951146,0.8352075862634323,0.16479241373656775,0.4755116974934076,0.5244883025065924,0.4777928567137048,0.5222071432862949,0.5039050469060204,0.4960949530939795,0.4920616342847397,0.5079383657152603,0.4896472337656415,0.5103527662343584,0.8602932900356572,0.13970670996434276,0.45788750693986385,0.5421124930601361,0.46357243917742463,0.5364275608225751,0.4903499654619191,0.5096500345380809,0.5060801696323869,0.4939198303676131,0.4478743047634181,0.5521256952365818,0.8107037499608643,0.18929625003913572,0.4664797165986948,0.5335202834013052,0.478242662213983,0.5217573377860169,0.49744235246099916,0.5025576475390009,0.5066137888065756,0.49338621119342435,0.48323619174561483,0.5167638082543852
Adair County,2100100B102,0.8080100958608576,0.19198990413914238,0.4251437586816178,0.5748562413183822,0.4419238569749794,0.5580761430250206,0.5105579297641958,0.4894420702358042,0.5051406219479726,0.49485937805202745,0.4300401366969894,0.5699598633030106,0.7709713780432119,0.22902862195678808,0.4746851618830553,0.5253148381169447,0.4849837214066845,0.5150162785933154,0.509368951627611,0.4906310483723891,0.49630864576681627,0.5036913542331838,0.4836844356219458,0.5163155643780541,0.9207377089042804,0.07926229109571954,0.45188856199030736,0.5481114380096926,0.46516728396372,0.53483271603628,0.49467402868027854,0.5053259713197215,0.5028240226627739,0.4971759773372261,0.4489137757875614,0.5510862242124386,0.8765264795513437,0.12347352044865635,0.45567831373273154,0.5443216862672684,0.4776664013372801,0.5223335986627199,0.5020553876878057,0.49794461231219433,0.5112345871455133,0.48876541285448677,0.48176576638960705,0.518234233610393
Adair County,2100100B104,0.9388850776024548,0.06111492239754529,0.451305843103793,0.5486941568962069,0.4553348747421082,0.5446651252578918,0.5082936691005958,0.4917063308994042,0.5018918111826021,0.49810818881739793,0.43122331043317313,0.5687766895668267,0.8195055974336423,0.18049440256635776,0.47554678550328433,0.5244532144967157,0.4764481318268838,0.5235518681731162,0.49603609887695715,0.5039639011230428,0.48642293957623883,0.5135770604237612,0.4847181699712359,0.5152818300287642,0.8864878705733823,0.1135121294266177,0.4551846911786261,0.544815308821374,0.45365390100970365,0.5463460989902963,0.49039666562915085,0.5096033343708489,0.5030601491650257,0.4969398508349743,0.44064169348609283,0.5593583065139072,0.8424555313691379,0.15754446863086208,0.4658311779824992,0.5341688220175008,0.4739129013846645,0.5260870986153355,0.4966721752102806,0.5033278247897194,0.512012954966975,0.487987045033025,0.47505070717761466,0.5249492928223853
Adair County,2100100C102,0.8367157399265166,0.16328426007348362,0.4472613067020619,0.5527386932979381,0.4426530789112435,0.5573469210887565,0.5089175115271221,0.491082488472878,0.5020038802242803,0.4979961197757196,0.4386871302714421,0.5613128697285579,0.723208043307164,0.2767919566928361,0.47553193053216797,0.5244680694678321,0.4754686539482619,0.5245313460517381,0.5005449210695628,0.4994550789304372,0.48891172387024806,0.5110882761297519,0.4850147080184892,0.5149852919815108,0.8944499324419898,0.1055500675580104,0.44220254200825887,0.5577974579917412,0.45382169412409923,0.5461783058759008,0.49071296469709974,0.5092870353029003,0.5098811985195413,0.4901188014804587,0.44173346108947903,0.558266538910521,0.8561381749495918,0.14386182505040845,0.4646474840646081,0.5353525159353919,0.48211418181078175,0.5178858181892183,0.49285654965270465,0.5071434503472954,0.5066753564271103,0.49332464357288974,0.47758967714422024,0.5224103228557798
Adair County,2100100C104,0.8474599614158786,0.15254003858412138,0.4507952529429143,0.5492047470570857,0.4459415397059987,0.5540584602940013,0.5099645817384104,0.4900354182615896,0.504277931712944,0.49572206828705606,0.4470066711141861,0.5529933288858139,0.7639105648218025,0.2360894351781975,0.4768881013720364,0.5231118986279636,0.4841523494366873,0.5158476505633127,0.5033673112703146,0.4966326887296854,0.49547990351052296,0.504520096489477,0.4811440457297617,0.5188559542702383,0.8538986167847478,0.14610138321525223,0.45943129596506993,0.5405687040349301,0.4632475621767449,0.5367524378232551,0.49022728869555826,0.5097727113044417,0.5108012779562767,0.4891987220437232,0.4476534954619135,0.5523465045380865,0.8159342507997447,0.18406574920025534,0.4644165524110827,0.5355834475889173,0.48404148585226026,0.5159585141477397,0.5004093656924158,0.4995906343075842,0.5142263863818183,0.4857736136181818,0.4837367027866704,0.5162632972133295
Adair County,2100100D101,0.906297908772042,0.093702091227958,0.45726344263205915,0.5427365573679409,0.44757542275684753,0.5524245772431524,0.5064188165822837,0.49358118341771634,0.5013568753559798,0.49864312464402016,0.4378134781706158,0.5621865218293842,0.8441954114885859,0.15580458851141415,0.47512927337020283,0.5248707266297972,0.4821943626110401,0.5178056373889599,0.5027024403556648,0.49729755964433514,0.4926671742091406,0.5073328257908595,0.4844174742148327,0.5155825257851673,0.8659058213861206,0.13409417861387937,0.4578041871069057,0.5421958128930943,0.46723760463036207,0.532762395369638,0.4948663682092948,0.5051336317907053,0.5097719608035219,0.49022803919647806,0.4466903253053805,0.5533096746946196,0.8256245702962806,0.17437542970371947,0.4686194028926211,0.5313805971073788,0.48151136408863354,0.5184886359113664,0.4923751547241628,0.5076248452758372,0.5163193412340085,0.48368065876599153,0.4739925662448455,0.5260074337551546
Adair County,2100100D103,0.9199195356803136,0.08008046431968642,0.44913814750145126,0.5508618524985487,0.44843615918250557,0.5515638408174944,0.501991652198952,0.49800834780104797,0.49816410492910324,0.501835895070897,0.43010342670173274,0.5698965732982673,0.775122361450456,0.224877638549544,0.4816995110332164,0.5183004889667836,0.4832435657722007,0.5167564342277994,0.500767438841052,0.49923256115894804,0.4910783741589702,0.50892162584103,0.48348657154329394,0.5165134284567061,0.8790565941697858,0.12094340583021422,0.4572218750522381,0.5427781249477619,0.4662590032517181,0.5337409967482819,0.49219008112277973,0.5078099188772203,0.5120373440478966,0.48796265595210364,0.43719285203766767,0.5628071479623323,0.8426853563716465,0.15731464362835348,0.46285437359791426,0.5371456264020857,0.4780343795368958,0.5219656204631041,0.4929062180295174,0.5070937819704826,0.5077562314123735,0.4922437685876268,0.4753925574260211,0.524607442573979
Adair County,2100100D104,0.7800859742610261,0.21991402573897384,0.43123393063478954,0.5687660693652105,0.4495858062649415,0.5504141937350585,0.5119688286752795,0.48803117132472057,0.5060745785535812,0.4939254214464189,0.43450100521220625,0.5654989947877938,0.6528206330659022,0.34717936693409784,0.46182336332563684,0.5381766366743631,0.4754871046344083,0.5245128953655916,0.5018384410339656,0.4981615589660345,0.49408528302747423,0.5059147169725258,0.47089227193053845,0.5291077280694615,0.9110348290703199,0.08896517092968019,0.4501951144774463,0.5498048855225537,0.46823056567242194,0.5317694343275781,0.48763426607115046,0.5123657339288495,0.5085566656500726,0.4914433343499273,0.44897907798735875,0.5510209220126413,0.8665899154790386,0.1334100845209614,0.4643315017778499,0.5356684982221501,0.48389162881730063,0.5161083711826994,0.497509627765682,0.5024903722343179,0.5111656946899051,0.4888343053100948,0.4803601966251036,0.5196398033748965
