county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.gov_16_dem_car,vap_white.gov_16_rep_bon,vap_black.gov_16_dem_car,vap_black.gov_16_rep_bon,vap_hisp.gov_16_dem_car,vap_hisp.gov_16_rep_bon,vap_oth.gov_16_dem_car,vap_oth.gov_16_rep_bon,vap_white.uss_18_dem_car,vap_white.uss_18_rep_arl,vap_black.uss_18_dem_car,vap_black.uss_18_rep_arl,vap_hisp.uss_18_dem_car,vap_hisp.uss_18_rep_arl,vap_oth.uss_18_dem_car,vap_oth.uss_18_rep_arl,vap_white.atg_18_dem_jen,vap_white.atg_18_rep_pep,vap_black.atg_18_dem_jen,vap_black.atg_18_rep_pep,vap_hisp.atg_18_dem_jen,vap_hisp.atg_18_rep_pep,vap_oth.atg_18_dem_jen,vap_oth.atg_18_rep_pep,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_white.uss_20_dem_coo,vap_white.uss_20_rep_wit,vap_black.uss_20_dem_coo,vap_black.uss_20_rep_wit,vap_hisp.uss_20_dem_coo,vap_hisp.uss_20_rep_wit,vap_oth.uss_20_dem_coo,vap_oth.uss_20_rep_wit,vap_white.gov_20_dem_car,vap_white.gov_20_rep_mur,vap_black.gov_20_dem_car,vap_black.gov_20_rep_mur,vap_hisp.gov_20_dem_car,vap_hisp.gov_20_rep_mur,vap_oth.gov_20_dem_car,vap_oth.gov_20_rep_mur
New Castle County,10003003-13,0.4338570542519784,0.5661429457480216,0.9444287219813713,0.05557127801862875,0.959210514337937,0.040789485662062926,0.8573009983090881,0.1426990016909119,0.5494006366312777,0.45059936336872236,0.9725767600463784,0.02742323995362162,0.9789415708430174,0.021058429156982687,0.8112068128969375,0.18879318710306248,0.5561556720293078,0.4438443279706922,0.9603803453194508,0.03961965468054923,0.9613310122690684,0.03866898773093165,0.8381044732487509,0.16189552675124905,0.5964386785990369,0.4035613214009632,0.917293743255676,0.082706256744324,0.9364792998043171,0.0635207001956829,0.7031706349762836,0.2968293650237164,0.5125232790502584,0.48747672094974165,0.9184442445965901,0.08155575540340991,0.83433676730212325,0.1656632326978768,0.8279804007240185,0.1720195992759815,0.5421957742790205,0.4578042257209794,0.9227856397895041,0.07721436021049588,0.8831594984834934,0.11684050151650657,0.8129878175142052,0.18701218248579474,0.519341591552343,0.4806584084476569,0.9285494068121408,0.07145059318785917,0.8909208137479121,0.10907918625208793,0.9068594281245098,0.09314057187549023
New Castle County,10003003-15,0.4083946350972309,0.591605364902769,0.9411352456575903,0.058864754342409654,0.9154677479119262,0.08453225208807376,0.837925472816433,0.1620745271835669,0.4549303495972775,0.5450696504027225,0.9361005012886467,0.06389949871135323,0.9195333451106741,0.08046665488932597,0.7579617030256094,0.24203829697439042,0.551470032833637,0.44852996716636295,0.9538938181742784,0.04610618182572155,0.9162083310442282,0.08379166895577184,0.8492264586349442,0.15077354136505558,0.5655966493958638,0.4344033506041361,0.9091947454290971,0.0908052545709029,0.8429429374095382,0.15705706259046176,0.6858033681099819,0.31419663189001795,0.45694945290624006,0.5430505470937599,0.9357232843068103,0.06427671569318975,0.8788003562956965,0.12119964370430351,0.7929475287579231,0.20705247124207687,0.5082240262112762,0.4917759737887239,0.9492000279679236,0.050799972032076375,0.8985957293068952,0.10140427069310479,0.7936506072301023,0.20634939276989775,0.4639068364507957,0.5360931635492042,0.9383031201735553,0.061696879826444624,0.8785858020770375,0.1214141979229625,0.9073671403077336,0.09263285969226612
New Castle County,10003003-16,0.45848541611856536,0.5415145838814346,0.9914688833594119,0.008531116640588185,0.9486895542412068,0.05131044575879316,0.8646427121857515,0.13535728781424855,0.5138357705123727,0.4861642294876273,0.9896927389245025,0.0103072610754975,0.9454872496385058,0.05451275036149417,0.8000245800292042,0.19997541997079588,0.5630733523317052,0.4369266476682948,0.9920419167988652,0.007958083201134773,0.9444926698904611,0.05550733010953887,0.8367224759350883,0.16327752406491175,0.5831315380450962,0.4168684619549038,0.8593060919578409,0.14069390804215903,0.8105519108699735,0.18944808913002653,0.6922156661835717,0.3077843338164283,0.5326202113318436,0.46737978866815644,0.9931308568428694,0.006869143157130565,0.9178631113559189,0.08213688864408111,0.8276358878421358,0.17236411215786415,0.5633363946159593,0.43666360538404064,0.9920918145808749,0.00790818541912507,0.9323099831322301,0.06769001686776989,0.8186400909764538,0.18135990902354612,0.5352834404893018,0.46471655951069823,0.9879050236960331,0.012094976303966914,0.9064265972486752,0.09357340275132477,0.9036351221215861,0.09636487787841384
New Castle County,10003003-17,0.435961098546934,0.564038901453066,0.9605817626929429,0.039418237307057076,0.9225946013832327,0.0774053986167673,0.86707450760777,0.13292549239222998,0.5188525037369347,0.48114749626306524,0.9708579126187069,0.029142087381293116,0.9319822673102984,0.06801773268970153,0.8143239429786213,0.18567605702137865,0.5833823719577435,0.4166176280422565,0.9741931237661023,0.0258068762338977,0.9156143361571425,0.0843856638428575,0.84519489287462,0.15480510712537995,0.605303464922993,0.39469653507700697,0.9443916599943915,0.05560834000560854,0.8559962456714855,0.1440037543285145,0.717143840278783,0.282856159721217,0.5340840279204819,0.46591597207951807,0.9675530976589728,0.03244690234102721,0.8894100101382301,0.11058998986176992,0.8339192244507525,0.16608077554924752,0.5563493718284819,0.4436506281715182,0.970074352054698,0.029925647945301906,0.9010831096608426,0.09891689033915745,0.8173669939845067,0.18263300601549332,0.5216018965482317,0.47839810345176825,0.968941050294279,0.03105894970572095,0.8915225773842287,0.10847742261577129,0.9109219761357927,0.08907802386420723
New Castle County,10003003-18,0.4734809038696391,0.5265190961303609,0.9542343986534872,0.045765601346512745,0.9254928661985183,0.07450713380148165,0.8642217364160922,0.13577826358390777,0.5263573677223768,0.4736426322776231,0.9575685436207574,0.042431456379242394,0.933507656318561,0.06649234368143897,0.8097413619709409,0.19025863802905907,0.6332199280977019,0.3667800719022981,0.9693266796672985,0.030673320332701377,0.94250136141089,0.05749863858910996,0.8593948752000296,0.1406051247999705,0.6350799580830037,0.3649200419169964,0.9295319953542992,0.07046800464570066,0.8761436834127131,0.1238563165872869,0.7264189252094512,0.2735810747905488,0.5397526820948515,0.4602473179051485,0.9537296486212051,0.046270351378794664,0.9015110383017015,0.09848896169829845,0.8369074833198542,0.1630925166801458,0.5605255577346362,0.4394744422653638,0.9484994710776404,0.05150052892235933,0.8993792577745163,0.10062074222548363,0.816758380815398,0.18324161918460202,0.553997931284015,0.44600206871598497,0.9569918641404586,0.04300813585954127,0.8951894719870166,0.10481052801298338,0.9077109069473168,0.09228909305268318
New Castle County,10003003-19,0.47194738884682935,0.5280526111531707,0.9424236950927095,0.057576304907290314,0.9153946051906681,0.08460539480933196,0.8632638009283837,0.13673619907161624,0.5785420720062123,0.42145792799378773,0.9421247408266532,0.05787525917334662,0.9295735508550538,0.07042644914494621,0.8124559342266411,0.18754406577335894,0.5715551573805817,0.42844484261941834,0.9604880673792308,0.03951193262076928,0.9139313362492154,0.08606866375078456,0.8430646783086028,0.1569353216913973,0.607005022011275,0.39299497798872496,0.906514868933559,0.09348513106644078,0.8438325635547453,0.15616743644525466,0.6989726287492759,0.30102737125072404,0.5299865333719169,0.47001346662808313,0.9556277752632453,0.04437222473675473,0.8936358435967489,0.10636415640325109,0.8317085237680494,0.1682914762319506,0.5834105083340068,0.41658949166599324,0.949894163445991,0.050105836554008985,0.9040996745142457,0.09590032548575433,0.8215223761284554,0.17847762387154467,0.5688665068668874,0.43113349313311256,0.9523877228431264,0.047612277156873356,0.8887527601412999,0.11124723985870008,0.9011387064319001,0.09886129356809994
New Castle County,10003003-21,0.417014167213009,0.582985832786991,0.9405446005713287,0.0594553994286713,0.9177292269945504,0.08227077300544959,0.8612069088840799,0.1387930911159201,0.4765531640797656,0.5234468359202344,0.9417973569164508,0.05820264308354914,0.9255374122169192,0.07446258778308083,0.7937361990810695,0.20626380091893043,0.48927132008698215,0.5107286799130178,0.95753384017644,0.042466159823559925,0.9150431299112427,0.08495687008875732,0.833958356755975,0.16604164324402507,0.5408125227698034,0.4591874772301966,0.906914622772049,0.09308537722795096,0.8362599343113173,0.16374006568868277,0.6913110385000542,0.30868896149994585,0.49288426146056463,0.5071157385394354,0.9488051300082412,0.05119486999175882,0.8833911432875537,0.11660885671244628,0.8347926407656655,0.1652073592343345,0.5295837782881389,0.4704162217118612,0.940588079457648,0.05941192054235203,0.8945747961193902,0.10542520388060984,0.8137209238990188,0.18627907610098116,0.5055103301930935,0.49448966980690645,0.949203662980926,0.050796337019074086,0.885006508556849,0.11499349144315095,0.9080680010442881,0.09193199895571191
New Castle County,10003003-22,0.4133966099478716,0.5866033900521284,0.9402755372668357,0.0597244627331643,0.9248070710126141,0.07519292898738594,0.8550580277244323,0.14494197227556774,0.4561089603924635,0.5438910396075365,0.9437522437617495,0.05624775623825048,0.9331260253402377,0.06687397465976226,0.7755241748180843,0.22447582518191564,0.49156484883478474,0.5084351511652152,0.9524365805719449,0.047563419428055136,0.9198115273428459,0.08018847265715413,0.8126945803793926,0.18730541962060746,0.5481407360489458,0.4518592639510543,0.9080665558192793,0.0919334441807207,0.840927652126487,0.15907234787351301,0.6801938397750815,0.3198061602249185,0.5275534379984663,0.4724465620015337,0.9395501005287783,0.060449899471221674,0.8908783378685662,0.10912166213143376,0.8463365955437605,0.15366340445623955,0.5854095300021681,0.4145904699978319,0.9478361081095632,0.05216389189043679,0.9043332436643213,0.09566675633567873,0.8242693270806616,0.17573067291933842,0.5280400896982725,0.4719599103017275,0.9491176219673321,0.05088237803266795,0.8872539953645271,0.1127460046354729,0.9162080985998666,0.08379190140013336
New Castle County,10003003-23,0.5481818608569933,0.4518181391430067,0.9439003299905923,0.056099670009407784,0.9263370055602904,0.07366299443970954,0.8807718331314822,0.11922816686851784,0.5786360026750944,0.4213639973249056,0.9454939565803337,0.0545060434196662,0.9291035006205075,0.07089649937949247,0.8174404757297449,0.1825595242702551,0.646987852905205,0.353012147094795,0.9572982404346494,0.042701759565350564,0.9136748545988495,0.08632514540115056,0.8674888054324644,0.13251119456753557,0.6557263233138307,0.3442736766861693,0.909903696230477,0.09009630376952303,0.8512968590372954,0.14870314096270468,0.7314272570547742,0.26857274294522576,0.6397802823945198,0.36021971760548016,0.9457400637828905,0.0542599362171095,0.8910616192740812,0.10893838072591876,0.8532390307695814,0.14676096923041862,0.6508696187310596,0.34913038126894036,0.9468049690910488,0.05319503090895117,0.9056721300660647,0.09432786993393527,0.8288842920139485,0.17111570798605144,0.633854132698573,0.3661458673014269,0.9603645736029793,0.03963542639702058,0.8972847658928483,0.10271523410715165,0.9177904739726329,0.08220952602736706
New Castle County,10003003-24,0.42378681865363726,0.5762131813463628,0.9323490175806842,0.06765098241931553,0.9243624840024154,0.07563751599758466,0.8566827015655116,0.14331729843448832,0.4845380408645678,0.5154619591354321,0.9363676250954023,0.06363237490459774,0.9212312394369112,0.07876876056308882,0.7979955221303355,0.2020044778696644,0.5169230623585758,0.4830769376414242,0.940983204473394,0.05901679552660605,0.9095345697989983,0.09046543020100171,0.8354690012596401,0.16453099874035995,0.5673984669453206,0.4326015330546794,0.9010282261089031,0.09897177389109689,0.8415214901554626,0.1584785098445374,0.6959979943511021,0.3040020056488979,0.479691885703439,0.520308114296561,0.9427421042284506,0.05725789577154917,0.8785015935880358,0.12149840641196423,0.8263027911361067,0.17369720886389334,0.509075335241767,0.49092466475823304,0.9350410158728801,0.06495898412711965,0.8938256313701644,0.10617436862983562,0.8069383788448143,0.19306162115518566,0.5002628936786363,0.49973710632136376,0.9454237855598819,0.05457621444011806,0.8895384845845012,0.11046151541549873,0.9009316533424694,0.09906834665753066
