county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_bar,vap_white.uss_18_dem_tra,vap_black.uss_18_rep_bar,vap_black.uss_18_dem_tra,vap_hisp.uss_18_rep_bar,vap_hisp.uss_18_dem_tra,vap_oth.uss_18_rep_bar,vap_oth.uss_18_dem_tra,vap_white.gov_18_rep_gor,vap_white.gov_18_dem_thr,vap_black.gov_18_rep_gor,vap_black.gov_18_dem_thr,vap_hisp.gov_18_rep_gor,vap_hisp.gov_18_dem_thr,vap_oth.gov_18_rep_gor,vap_oth.gov_18_dem_thr,vap_white.sos_18_rep_buc,vap_white.sos_18_dem_byr,vap_black.sos_18_rep_buc,vap_black.sos_18_dem_byr,vap_hisp.sos_18_rep_buc,vap_hisp.sos_18_dem_byr,vap_oth.sos_18_rep_buc,vap_oth.sos_18_dem_byr,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_lum,vap_white.uss_20_dem_dav,vap_black.uss_20_rep_lum,vap_black.uss_20_dem_dav,vap_hisp.uss_20_rep_lum,vap_hisp.uss_20_dem_dav,vap_oth.uss_20_rep_lum,vap_oth.uss_20_dem_dav
Converse County,560090002-2,0.9303327320685676,0.0696672679314324,0.48738818203444906,0.5126118179655509,0.3736675861754862,0.6263324138245138,0.5632823243721942,0.43671767562780583,0.8671940588846722,0.1328059411153279,0.49730356236543305,0.502696437634567,0.4871797972539947,0.5128202027460053,0.542532987969128,0.4574670120308721,0.9008335151010659,0.0991664848989341,0.49781553830908865,0.5021844616909114,0.4170486637377907,0.5829513362622093,0.48223354439327637,0.5177664556067236,0.9322984609442626,0.06770153905573738,0.485721833142018,0.514278166857982,0.39585250012015305,0.604147499879847,0.5557554664595852,0.4442445335404148,0.9327739021395374,0.0672260978604626,0.4929567515313162,0.5070432484686838,0.3797123942438607,0.6202876057561393,0.4818286767603742,0.5181713232396258,0.9175600216064813,0.0824399783935187,0.4884601823929808,0.5115398176070193,0.40046502129152844,0.5995349787084716,0.4680180547729736,0.5319819452270264
Converse County,560090003-1,0.9878787488771976,0.012121251122802412,0.4995678444085889,0.5004321555914111,0.44014980857537717,0.5598501914246228,0.6179312302689286,0.38206876973107134,0.8466625037332804,0.15333749626671953,0.4897072615220347,0.5102927384779653,0.48637613559320536,0.5136238644067946,0.5431402310220794,0.45685976897792063,0.9061010899402449,0.09389891005975512,0.4939108924757999,0.5060891075242001,0.4269320249532276,0.5730679750467724,0.46837222217018704,0.531627777829813,0.9392950684522674,0.060704931547732585,0.4776052102546585,0.5223947897453415,0.407417003310048,0.592582996689952,0.5554364557370074,0.4445635442629926,0.9501751426355987,0.049824857364401315,0.48234112443308647,0.5176588755669135,0.38176352646517026,0.6182364735348297,0.47155014409634755,0.5284498559036525,0.9501095648882666,0.049890435111733404,0.4907358929620438,0.5092641070379562,0.39958661449551186,0.6004133855044882,0.4706160722726872,0.5293839277273128
Converse County,560090004-4,0.9797527451307032,0.020247254869296846,0.4905538608323582,0.5094461391676418,0.36739594331370523,0.6326040566862948,0.5372032586366837,0.4627967413633162,0.9228774693848814,0.07712253061511869,0.49266039926010774,0.5073396007398923,0.49017785519955065,0.5098221448004494,0.5398294727183158,0.4601705272816842,0.9138179572390119,0.08618204276098805,0.48714692860652037,0.5128530713934796,0.4204411426309878,0.5795588573690122,0.4667746694093116,0.5332253305906883,0.9332596707269734,0.06674032927302663,0.4794055643203751,0.5205944356796249,0.4032463515341636,0.5967536484658365,0.5531706686892659,0.44682933131073416,0.95087208905447,0.049127910945530075,0.4920726715618067,0.5079273284381933,0.3921916759235765,0.6078083240764235,0.4681050739280002,0.5318949260719997,0.9469177879326328,0.05308221206736722,0.48653826314873205,0.513461736851268,0.40277352334548083,0.5972264766545192,0.46759912348425725,0.5324008765157427
Converse County,560090006-6,0.9773621600307011,0.022637839969298683,0.4903755172854837,0.5096244827145163,0.3754333173754285,0.6245666826245715,0.5325121733352403,0.46748782666475974,0.9043066305500005,0.09569336944999943,0.4945393406798178,0.5054606593201822,0.4898255392673254,0.5101744607326746,0.542714015735007,0.45728598426499295,0.9364816725775895,0.0635183274224104,0.49797454373805794,0.5020254562619421,0.42579347292109093,0.5742065270789091,0.4617717186188239,0.5382282813811761,0.929614148117917,0.07038585188208286,0.4805965707945197,0.5194034292054803,0.3989724070152069,0.601027592984793,0.5531995547760122,0.44680044522398776,0.9704697657573679,0.029530234242632108,0.48691306004812035,0.5130869399518796,0.3892515936633545,0.6107484063366455,0.46081762036888574,0.5391823796311143,0.9336219194076345,0.06637808059236532,0.49059465033756783,0.5094053496624322,0.40814451268031776,0.5918554873196822,0.4608045178658014,0.5391954821341985
Converse County,560090007-7,0.9412584921836031,0.058741507816396824,0.495354040851913,0.504645959148087,0.3867324164213259,0.6132675835786742,0.5522831692234952,0.4477168307765048,0.8625334648120336,0.13746653518796637,0.4894245531109885,0.5105754468890115,0.48597725116912976,0.5140227488308703,0.5447903012162647,0.45520969878373535,0.9068093224532167,0.09319067754678333,0.49383551948883847,0.5061644805111616,0.42463779282138525,0.5753622071786147,0.4776110935870026,0.5223889064129974,0.8934213061355701,0.10657869386442988,0.48614793094829456,0.5138520690517054,0.4181590562810265,0.5818409437189734,0.5588395167684113,0.44116048323158874,0.918222338232279,0.08177766176772105,0.4871352224433253,0.5128647775566747,0.39923559736033937,0.6007644026396606,0.4741934353116382,0.5258065646883618,0.9210599732125476,0.07894002678745239,0.48697060167226996,0.51302939832773,0.4063855183203982,0.5936144816796018,0.46595368669010373,0.5340463133098963
Converse County,560090008-8,0.9827729922303994,0.017227007769600598,0.49114336600879005,0.50885663399121,0.3933656904751642,0.6066343095248359,0.5874346148289042,0.4125653851710958,0.9560651289463891,0.04393487105361099,0.4925424860347782,0.5074575139652219,0.5079514359470404,0.49204856405295955,0.551056919945402,0.4489430800545981,0.9604845367691912,0.03951546323080881,0.49720343966242325,0.5027965603375767,0.443684100157543,0.556315899842457,0.485035994748495,0.514964005251505,0.9593393781969828,0.040660621803017195,0.4833230443755628,0.5166769556244373,0.4114119297950953,0.5885880702049048,0.5702429321749318,0.4297570678250681,0.9777140826701617,0.02228591732983828,0.49482525625761486,0.5051747437423851,0.41942733715319014,0.5805726628468099,0.49722493290814784,0.5027750670918522,0.9383599250378741,0.061640074962125854,0.487678615669461,0.512321384330539,0.3973116003561928,0.6026883996438073,0.47331680621865585,0.5266831937813441
Converse County,560090009-1,0.8898105575619986,0.11018944243800148,0.4964993845896861,0.5035006154103137,0.3885879870463589,0.6114120129536411,0.5596038240249454,0.4403961759750547,0.7885593942895268,0.21144060571047324,0.4908102475584531,0.509189752441547,0.4819674367500975,0.5180325632499025,0.5465888614772454,0.45341113852275444,0.8320419227811338,0.16795807721886624,0.495457285487703,0.5045427145122967,0.4292582362365218,0.5707417637634782,0.4744277795945126,0.5255722204054873,0.8718556695622385,0.1281443304377615,0.4768059882442525,0.5231940117557472,0.41144860050060184,0.5885513994993982,0.5532690479680805,0.4467309520319192,0.8883903644339337,0.11160963556606629,0.4959031298127993,0.5040968701872005,0.39702106338642656,0.6029789366135734,0.4775390253046357,0.5224609746953643,0.8365149447838961,0.16348505521610393,0.49075324834148015,0.5092467516585196,0.40796902194330154,0.5920309780566985,0.4721130094095997,0.5278869905904
Converse County,560090009-2,0.903513587224521,0.09648641277547915,0.4929695931292759,0.5070304068707241,0.3753236656544296,0.6246763343455705,0.5531110084539889,0.4468889915460111,0.7985743741907576,0.20142562580924267,0.4915645763815096,0.5084354236184904,0.48359910651902344,0.5164008934809766,0.5397241516423494,0.46027584835765056,0.7923701261020133,0.20762987389798693,0.5018042767494266,0.4981957232505733,0.4135839409042293,0.5864160590957708,0.4679082674067714,0.5320917325932286,0.8331277003822535,0.16687229961774674,0.47887167707267353,0.5211283229273265,0.3986859524350608,0.6013140475649392,0.5542414473197501,0.4457585526802499,0.8592420333746692,0.14075796662533102,0.48838500630570186,0.5116149936942982,0.39624533712907273,0.6037546628709273,0.4726635243444893,0.5273364756555107,0.8080917409344747,0.19190825906552553,0.48758805930905197,0.512411940690948,0.39392417271137653,0.6060758272886235,0.4667249125774249,0.5332750874225751
Converse County,560090023-1,0.9346560728815511,0.06534392711844891,0.48228287235741213,0.5177171276425878,0.3497685798549523,0.6502314201450476,0.5421209284274265,0.4578790715725734,0.7951901976847487,0.20480980231525128,0.4867362198051806,0.5132637801948194,0.47206943334606005,0.52793056665394,0.5393927342669476,0.46060726573305244,0.8651469857287559,0.13485301427124413,0.4888604274081536,0.5111395725918464,0.4090430861924158,0.5909569138075842,0.46069656532718695,0.539303434672813,0.8560751422848653,0.14392485771513475,0.47401636634309136,0.5259836336569087,0.39108275798279774,0.6089172420172023,0.55772832536325,0.44227167463674993,0.8999217349944744,0.10007826500552568,0.4872848107273471,0.5127151892726529,0.3791465619815921,0.6208534380184079,0.4665768149449765,0.5334231850550235,0.8603656389828824,0.13963436101711763,0.4879564061647322,0.5120435938352678,0.3851660681785474,0.6148339318214526,0.46534424784005524,0.5346557521599448
Converse County,560090023-2,0.9793828761133809,0.02061712388661906,0.4962744781647745,0.5037255218352256,0.40515834298110764,0.5948416570188924,0.5929395160576124,0.4070604839423876,0.883736777137155,0.116263222862845,0.4872873559000547,0.5127126440999453,0.472608740798655,0.527391259201345,0.5363836529683236,0.4636163470316765,0.9150149619631701,0.08498503803682984,0.5005819857724062,0.4994180142275938,0.40370844731829103,0.596291552681709,0.4576672905954783,0.5423327094045217,0.9288853658005504,0.07111463419944963,0.4867851287866689,0.5132148712133311,0.39535624711946393,0.6046437528805361,0.5447912178728335,0.45520878212716653,0.9711018418474289,0.02889815815257112,0.49448274055762165,0.5055172594423784,0.4093793925786455,0.5906206074213545,0.5051909900974882,0.4948090099025118,0.9530192606993749,0.04698073930062502,0.4900831017497161,0.509916898250284,0.40634556403723837,0.5936544359627616,0.47863933456524127,0.5213606654347587
