county,GEOID,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_cap,vap_white.uss_20_dem_swe,vap_black.uss_20_rep_cap,vap_black.uss_20_dem_swe,vap_hisp.uss_20_rep_cap,vap_hisp.uss_20_dem_swe,vap_asian.uss_20_rep_cap,vap_asian.uss_20_dem_swe,vap_aian.uss_20_rep_cap,vap_aian.uss_20_dem_swe,vap_oth_b.uss_20_rep_cap,vap_oth_b.uss_20_dem_swe,vap_white.gov_20_rep_jus,vap_white.gov_20_dem_sal,vap_black.gov_20_rep_jus,vap_black.gov_20_dem_sal,vap_hisp.gov_20_rep_jus,vap_hisp.gov_20_dem_sal,vap_asian.gov_20_rep_jus,vap_asian.gov_20_dem_sal,vap_aian.gov_20_rep_jus,vap_aian.gov_20_dem_sal,vap_oth_b.gov_20_rep_jus,vap_oth_b.gov_20_dem_sal,vap_white.atg_20_rep_mor,vap_white.atg_20_dem_pet,vap_black.atg_20_rep_mor,vap_black.atg_20_dem_pet,vap_hisp.atg_20_rep_mor,vap_hisp.atg_20_dem_pet,vap_asian.atg_20_rep_mor,vap_asian.atg_20_dem_pet,vap_aian.atg_20_rep_mor,vap_aian.atg_20_dem_pet,vap_oth_b.atg_20_rep_mor,vap_oth_b.atg_20_dem_pet,vap_white.sos_20_rep_war,vap_white.sos_20_dem_ten,vap_black.sos_20_rep_war,vap_black.sos_20_dem_ten,vap_hisp.sos_20_rep_war,vap_hisp.sos_20_dem_ten,vap_asian.sos_20_rep_war,vap_asian.sos_20_dem_ten,vap_aian.sos_20_rep_war,vap_aian.sos_20_dem_ten,vap_oth_b.sos_20_rep_war,vap_oth_b.sos_20_dem_ten
Barbour County,54001000001,0.8419978339533487,0.15800216604665135,0.48428709392374175,0.5157129060762582,0.4936915788299925,0.5063084211700075,0.48813327049920147,0.5118667295007985,0.4966648810029768,0.5033351189970232,0.5101249586282957,0.4898750413717044,0.857071400963018,0.14292859903698196,0.5229697025266057,0.47703029747339426,0.5263854187590892,0.4736145812409108,0.5029107677437392,0.4970892322562608,0.4976387091346675,0.5023612908653324,0.47392763614420974,0.5260723638557903,0.8234081106813907,0.17659188931860925,0.499528670497782,0.5004713295022181,0.4969690057708034,0.5030309942291966,0.5003577404961213,0.4996422595038788,0.49566268130016444,0.5043373186998356,0.49453629301598345,0.5054637069840165,0.7700406668022489,0.22995933319775105,0.47964445683044044,0.5203555431695596,0.49835964486612566,0.5016403551338744,0.5063016320859006,0.49369836791409943,0.4918144602218645,0.5081855397781355,0.5039248293758593,0.49607517062414075,0.6625938203942956,0.3374061796057044,0.4857126510574276,0.5142873489425724,0.4733044918834228,0.5266955081165772,0.5010209509458797,0.49897904905412027,0.4918916898413321,0.5081083101586679,0.49301232006447693,0.5069876799355231
Barbour County,54001000002,0.8279844892474861,0.1720155107525139,0.487835263828729,0.512164736171271,0.49029599375267835,0.5097040062473217,0.4750469017074262,0.5249530982925739,0.4921355918394148,0.5078644081605852,0.5004979170734705,0.4995020829265295,0.8415086499536526,0.15849135004634737,0.5153058461024096,0.48469415389759046,0.5314231586731565,0.4685768413268435,0.49613174634948237,0.5038682536505176,0.5020393804249728,0.4979606195750273,0.47702680675530224,0.5229731932446978,0.8064285305824362,0.1935714694175638,0.5001891499936195,0.4998108500063805,0.5078754868793296,0.49212451312067035,0.49901159992302774,0.5009884000769723,0.4924585125062562,0.5075414874937437,0.4964427964422824,0.5035572035577176,0.7409433841265946,0.2590566158734055,0.47423596384611927,0.5257640361538807,0.49386954980979547,0.5061304501902045,0.5058888306856101,0.49411116931439,0.49052221705440463,0.5094777829455954,0.4965798063918163,0.5034201936081837,0.6520977153354803,0.34790228466451967,0.4908145760259702,0.5091854239740299,0.4687797097810399,0.5312202902189601,0.5053337867521827,0.4946662132478174,0.49373396845551926,0.5062660315444808,0.4972491229479425,0.5027508770520575
Barbour County,54001000003,0.8134336079860964,0.1865663920139036,0.49020672008523636,0.5097932799147636,0.4951710359818111,0.5048289640181889,0.47823046372326544,0.5217695362767345,0.4930672454779796,0.5069327545220205,0.5063068130426998,0.4936931869573003,0.8022858425557146,0.19771415744428547,0.5164114827668239,0.4835885172331761,0.5356458763639276,0.4643541236360722,0.5010679033106094,0.4989320966893906,0.5012271789826822,0.4987728210173178,0.4760044544781408,0.5239955455218591,0.798781172348171,0.20121882765182894,0.49043532917070753,0.5095646708292925,0.5023046198482303,0.4976953801517695,0.4988368896475812,0.5011631103524188,0.4903643906580052,0.5096356093419948,0.4924430714494148,0.5075569285505852,0.6959290115111607,0.3040709884888393,0.4780787765469703,0.5219212234530297,0.494630846839762,0.5053691531602378,0.5078346545278186,0.4921653454721814,0.4905692194911612,0.5094307805088387,0.49990663626489856,0.5000933637351014,0.6135794341169424,0.3864205658830576,0.4880650213523977,0.5119349786476023,0.47275488501847124,0.5272451149815287,0.5012372700901555,0.4987627299098445,0.492388652383467,0.5076113476165329,0.4895095403115798,0.5104904596884202
Barbour County,54001000004,0.8259950731919633,0.17400492680803673,0.4946523431818197,0.5053476568181803,0.4939619720130768,0.5060380279869232,0.47905927909717827,0.5209407209028217,0.49005414584042417,0.5099458541595758,0.5088276231205031,0.49117237687949683,0.8319771385130513,0.1680228614869487,0.5146532829719637,0.48534671702803633,0.5330894682091726,0.4669105317908274,0.4989302856330797,0.5010697143669204,0.5008667638089354,0.4991332361910646,0.47546757702215603,0.524532422977844,0.8104834874011025,0.18951651259889746,0.49663513610187515,0.5033648638981248,0.5027823398866204,0.49721766011337964,0.5016883636140875,0.4983116363859124,0.49219421272972663,0.5078057872702734,0.5034196738671564,0.49658032613284364,0.7427975882140179,0.25720241178598213,0.47359546830356897,0.526404531696431,0.4968775711387294,0.5031224288612707,0.5034186847161934,0.49658131528380656,0.4944773160372664,0.5055226839627336,0.5101143311450109,0.4898856688549891,0.6516787876871452,0.3483212123128548,0.48690449953541404,0.513095500464586,0.4710590338729468,0.5289409661270532,0.5031743086990091,0.49682569130099086,0.5021642981837866,0.4978357018162134,0.4999591009008204,0.5000408990991796
Barbour County,54001000007,0.6944487188051824,0.30555128119481756,0.4921699131181017,0.5078300868818982,0.48637015980897835,0.5136298401910216,0.48517291867180323,0.5148270813281965,0.5006721954988212,0.4993278045011788,0.4960433791021826,0.5039566208978172,0.7700202423900403,0.2299797576099597,0.5191027683008854,0.4808972316991146,0.5204355512910386,0.4795644487089614,0.5001440079879385,0.4998559920120615,0.49574247978282343,0.5042575202171766,0.46436524798941625,0.5356347520105835,0.7075692813351809,0.29243071866481907,0.49743874087073964,0.5025612591292603,0.49733843487594326,0.5026615651240568,0.4961906965089709,0.5038093034910289,0.49458343499347124,0.5054165650065288,0.4905209072958363,0.5094790927041635,0.6558441803465221,0.3441558196534779,0.4748729966578803,0.5251270033421197,0.49503099263945655,0.5049690073605435,0.5097854126916935,0.4902145873083064,0.49443180832507244,0.5055681916749276,0.5003166205625347,0.49968337943746505,0.5407222764157997,0.4592777235842003,0.4839066971377251,0.5160933028622748,0.4710451265777214,0.5289548734222785,0.49738912940127117,0.5026108705987289,0.4931215414118055,0.5068784585881945,0.4854999469445175,0.5145000530554823
Barbour County,54001000008,0.8068320927829897,0.1931679072170105,0.4898484005399665,0.5101515994600335,0.4936650699709669,0.5063349300290332,0.48846752282296796,0.5115324771770321,0.4895573976703915,0.5104426023296085,0.504970896694072,0.49502910330592803,0.8474524746052613,0.1525475253947389,0.5182259033743541,0.48177409662564585,0.5345687044505114,0.46543129554948864,0.5025583769989949,0.4974416230010052,0.5030712530827656,0.49692874691723443,0.47151234653847374,0.5284876534615263,0.8134753899848676,0.1865246100151326,0.49679910708616953,0.5032008929138305,0.4945372962692318,0.5054627037307682,0.505454339410982,0.494545660589018,0.5003446187752197,0.4996553812247802,0.49348916866095177,0.5065108313390483,0.7154683388802049,0.2845316611197953,0.47689957580747916,0.5231004241925209,0.49267977849186523,0.5073202215081348,0.5036823779337188,0.49631762206628116,0.48630409134199504,0.513695908658005,0.502006799839942,0.49799320016005805,0.6444234903489248,0.3555765096510754,0.4899139038311808,0.5100860961688192,0.46880610777968085,0.5311938922203192,0.5005749641114017,0.4994250358885984,0.4971096703195513,0.5028903296804488,0.5010006601676381,0.49899933983236194
Barbour County,54001000009,0.7558182321019394,0.24418176789806062,0.48904280581976367,0.5109571941802363,0.4904158525057003,0.5095841474942997,0.48121986662466204,0.518780133375338,0.4979789613589838,0.5020210386410162,0.49977647164572236,0.5002235283542776,0.741485906996758,0.258514093003242,0.5075267181224751,0.49247328187752487,0.5263759946559411,0.4736240053440589,0.4972808590597244,0.5027191409402756,0.5066952724946987,0.4933047275053013,0.4656397225998181,0.5343602774001819,0.7002301189514701,0.29976988104852986,0.49915264248722546,0.5008473575127745,0.49955425168246503,0.500445748317535,0.4988080374117095,0.5011919625882906,0.4990376511348909,0.5009623488651092,0.49418959788175104,0.5058104021182489,0.6934539492289878,0.3065460507710122,0.47082790644095984,0.5291720935590402,0.49629554159980926,0.5037044584001907,0.5037422495123604,0.4962577504876396,0.4951708901094477,0.5048291098905523,0.503318666894722,0.4966813331052779,0.6374033078079564,0.36259669219204366,0.4890744245247074,0.5109255754752926,0.47190048239692967,0.5280995176030704,0.5055253753204526,0.49447462467954745,0.49277443226760137,0.5072255677323987,0.48841416715124325,0.5115858328487567
Barbour County,54001000010,0.8466758364085333,0.15332416359146667,0.49149933548485164,0.5085006645151484,0.49221836717025735,0.5077816328297426,0.47813528915705805,0.521864710842942,0.4863817864472181,0.5136182135527819,0.5092980002126481,0.49070199978735163,0.8586601279284771,0.14133987207152293,0.5164303483388891,0.48356965166111093,0.5332934777420909,0.4667065222579091,0.491890523913624,0.508109476086376,0.5052186182537947,0.49478138174620534,0.4766616531989679,0.5233383468010321,0.8135890494737928,0.18641095052620715,0.503020596022681,0.49697940397731893,0.5020457394415152,0.49795426055848485,0.5032500327055457,0.49674996729445436,0.4917471523807051,0.5082528476192949,0.4919942750410673,0.5080057249589325,0.7535590877025353,0.24644091229746465,0.4703827164152923,0.5296172835847077,0.4914950157455043,0.5085049842544958,0.5042929528130494,0.4957070471869506,0.4913947483671164,0.5086052516328836,0.5058053932630624,0.4941946067369374,0.69151446248163,0.3084855375183701,0.4916851996016331,0.5083148003983669,0.46646041262062976,0.5335395873793702,0.503195234692496,0.49680476530750395,0.4977234370971845,0.5022765629028155,0.49489066165533535,0.5051093383446646
Barbour County,54001000011,0.8105420374769216,0.18945796252307845,0.5003652453979807,0.49963475460201934,0.4884905899101799,0.5115094100898201,0.4829223259327118,0.5170776740672882,0.4931263492969932,0.5068736507030069,0.5002548269700605,0.4997451730299395,0.8304012110702882,0.16959878892971175,0.5321321892769791,0.4678678107230209,0.5419848441986024,0.4580151558013976,0.5023443221781307,0.49765567782186926,0.5075187864210896,0.49248121357891056,0.4719032094304922,0.5280967905695079,0.832793664879812,0.16720633512018798,0.5289099149659724,0.4710900850340276,0.5105966734508973,0.48940332654910274,0.5015161422003999,0.49848385779960014,0.49303970027687266,0.5069602997231276,0.4996256042099783,0.5003743957900216,0.7165501953047541,0.28344980469524594,0.47593852684152954,0.5240614731584705,0.4965047700486521,0.5034952299513479,0.502023877604908,0.4979761223950921,0.495778563602975,0.5042214363970252,0.5058895559680823,0.49411044403191773,0.6380608212294087,0.36193917877059134,0.49320025026824976,0.5067997497317502,0.46944768541559606,0.530552314584404,0.5047872978139081,0.495212702186092,0.49434267108355195,0.5056573289164483,0.4925559015653939,0.5074440984346061
Barbour County,54001000012,0.8162779957973871,0.18372200420261284,0.49116891789551703,0.5088310821044829,0.4972676211980193,0.5027323788019807,0.4789220283437595,0.5210779716562405,0.49524555847168417,0.5047544415283158,0.5056542462063223,0.4943457537936777,0.8374885107847588,0.16251148921524114,0.5136991705283308,0.48630082947166914,0.5284318602706344,0.47156813972936557,0.49903171109237404,0.5009682889076259,0.5050962536218067,0.4949037463781933,0.4675097895884418,0.5324902104115582,0.8312744901257659,0.16872550987423404,0.4984236514587455,0.5015763485412544,0.5029006928762225,0.4970993071237775,0.5018764401894239,0.4981235598105761,0.4894618732308915,0.5105381267691085,0.4959987001860876,0.5040012998139124,0.7617951340792416,0.23820486592075835,0.4756172508458601,0.52438274915414,0.49722544306861793,0.5027745569313821,0.5024141493452666,0.49758585065473343,0.4941988420866209,0.5058011579133791,0.49924088920749926,0.5007591107925008,0.6961201700328601,0.3038798299671399,0.4863846972096932,0.5136153027903069,0.4773138662703702,0.5226861337296298,0.5008547775468338,0.4991452224531662,0.4974125541339953,0.5025874458660047,0.49112328923357934,0.5088767107664206
